activity;start_time;completion_time;duration;predecessors;resources
5;9;16;8;4;r3(4)
6;17;20;4;5;r2(4),r3(1)
7;2;9;8;3;r2(8),r3(3),r4(9)
8;2;8;7;3;r1(9),r3(10)
9;11;20;10;4;r1(2),r3(2),r4(8)
10;10;18;9;8;r2(9)
12;21;30;10;6;r1(6),r4(8)
13;21;28;8;10;r2(10)
15;32;39;8;13;r1(10),r3(4),r4(4)
16;31;31;1;12;r1(10),r2(7),r3(9),r4(5)
17;47;50;4;6;r1(1),r3(8),r4(10)
18;31;39;9;14;r3(5),r4(6)
19;32;39;8;2, 13;r3(3)
20;40;46;7;18;r1(10),r2(6),r3(9),r4(4)
21;40;47;8;19;r3(5)
22;54;57;4;7, 20;r1(6),r3(1)
23;52;61;10;6, 21;r1(5),r3(10)
24;49;51;3;11, 20, 21;r2(10),r3(6),r4(3)
26;54;57;4;15, 19;r1(3),r2(5)
28;51;57;7;16, 17, 25;r3(3),r4(7)
29;62;64;3;9, 24, 26;r2(1),r3(6)
30;65;66;2;23, 27, 28;r3(3),r4(5)
31;58;67;10;8, 22;r1(2),r2(10),r4(8)
32;67;67;0;29, 30, 31;-
