activity;start_time;completion_time;duration;predecessors;resources
7;12;20;9;6;r1(5),r3(3),r4(5)
8;6;14;9;3;r1(6),r2(5),r4(8)
9;21;25;5;2, 7;r1(6),r4(1)
12;15;24;10;8;r2(2),r3(7),r4(10)
13;21;27;7;6;r1(7),r3(6),r4(8)
14;32;38;7;13;r1(5),r2(10),r4(8)
16;26;28;3;9;r1(5),r2(5),r3(1),r4(10)
17;29;34;6;12, 15;r1(2),r2(2),r3(7),r4(5)
19;40;44;5;14;r1(9),r2(10),r3(7)
20;29;38;10;5, 16;r1(8),r3(6),r4(7)
21;28;31;4;9;r1(7),r2(10),r3(8),r4(8)
22;39;39;1;14, 17;r1(9),r3(9),r4(7)
23;35;38;4;21;r1(8),r2(6),r3(2),r4(1)
24;39;46;8;9, 12;r1(1),r2(8),r3(8),r4(5)
25;45;46;2;11, 19;r2(9),r3(5),r4(2)
26;47;53;7;25;r1(10),r2(1),r3(6),r4(10)
27;40;42;3;16, 22;r1(9),r2(3),r3(7),r4(7)
28;43;51;9;15, 20, 23;r1(6),r3(5),r4(9)
29;47;55;9;18, 27;r1(5),r2(10),r3(2)
30;54;56;3;18, 24, 26;r1(1),r3(9),r4(9)
31;52;56;5;14, 28;r3(3)
32;56;56;0;29, 30, 31;-
