activity;start_time;completion_time;duration;predecessors;resources
6;16;19;4;2;r2(9)
7;6;11;6;2;r1(8)
8;12;18;7;5;r1(5)
9;19;20;2;8;r1(7)
10;6;15;10;2;r2(3)
12;32;36;5;7;r3(10)
13;21;25;5;6;r1(2)
14;29;36;8;8, 13;r2(6)
15;16;22;7;10;r1(4)
16;33;39;7;8;r1(7)
18;23;28;6;15;r2(8)
19;26;32;7;9;r1(6)
21;21;29;9;9;r1(6)
23;41;47;7;19;r4(5)
25;34;38;5;17, 18, 21;r4(3)
26;40;40;1;16, 20, 21;r4(9)
27;40;40;1;14, 18;r1(9)
28;41;45;5;25, 26, 27;r3(8)
29;48;48;1;20, 22, 23;r1(5)
30;46;49;4;12, 24, 28;r2(1)
32;49;49;0;29, 30, 31;-
