activity;start_time;completion_time;duration;predecessors;resources
2;13;13;1;1;r1(7),r3(2)
4;1;8;8;1;r1(9),r3(3),r4(4)
5;11;11;1;4;r1(4),r3(7),r4(7)
7;21;24;4;3;r1(9),r4(8)
8;18;20;3;5;r1(10),r2(5),r3(10)
9;21;27;7;8;r4(5)
10;9;17;9;3;r1(8)
14;33;34;2;6;r1(8),r2(6),r3(3)
15;26;33;8;7;r2(6),r4(1)
19;25;32;8;2;r1(10)
21;23;27;5;10;r1(5),r2(6)
22;28;32;5;9;r2(8),r3(10)
23;51;58;8;13, 15, 22;r2(9),r3(3),r4(1)
25;34;34;1;13, 15, 19;r1(3),r3(1),r4(5)
26;35;44;10;14, 21, 25;r1(8)
28;45;54;10;16, 20, 26;r1(4),r2(7),r3(3),r4(10)
29;59;61;3;2, 18, 23;r2(1)
31;55;64;10;17, 27, 28;r3(2)
32;64;64;0;29, 30, 31;-
