activity;start_time;completion_time;duration;predecessors;resources
6;14;22;9;5;r2(9),r3(10)
8;40;42;3;5;r1(5),r2(3),r3(5),r4(2)
9;24;32;9;6;r1(4),r3(6)
10;23;27;5;5;r1(10),r2(4)
11;33;39;7;7, 9;r1(8),r3(9)
12;28;33;6;6, 10;r1(2),r2(9),r4(2)
17;34;42;9;7;r1(5),r4(1)
18;34;42;9;7, 16;r1(1),r2(7),r4(6)
20;45;46;2;8;r4(6)
23;19;23;5;14;r2(3),r4(1)
24;43;46;4;17, 18, 21;r1(3),r3(5),r4(4)
25;47;55;9;24;r2(3),r3(6),r4(8)
27;53;62;10;20, 21, 23;r1(6)
28;56;63;8;10, 23;r1(6),r2(5),r4(10)
29;64;70;7;25, 27, 28;r1(6)
30;46;52;7;13, 15, 26;r1(9)
32;70;70;0;29, 30, 31;-
