activity;start_time;completion_time;duration;predecessors;resources
2;1;9;9;1;r3(8),r4(7)
5;7;14;8;4;r1(7),r3(10),r4(6)
9;15;21;7;5;r2(4)
11;23;32;10;3;r1(8),r3(9),r4(9)
12;19;19;1;7;r3(9),r4(9)
13;11;17;7;4;r3(8),r4(7)
14;16;22;7;10;r2(6),r4(2)
15;22;28;7;7, 9;r2(8)
16;33;38;6;11, 15;r2(3),r4(8)
17;20;28;9;4, 12;r1(3),r4(6)
18;10;11;2;2;r3(4)
19;18;24;7;13;r2(2),r3(6),r4(7)
20;39;41;3;16;r2(10),r4(3)
21;16;18;3;6, 18;r1(9),r3(8),r4(10)
22;29;36;8;8, 17, 21;r1(7)
23;24;32;9;7;r2(9),r3(6)
25;42;42;1;20;r3(2),r4(4)
26;26;28;3;19;r3(8),r4(4)
27;29;38;10;2, 14, 26;r2(10),r4(2)
28;38;40;3;22;r1(8),r2(5),r3(5)
29;43;48;6;25, 27, 28;r1(1),r4(8)
31;44;46;3;11, 23, 24;r1(9),r2(3),r3(6),r4(1)
32;48;48;0;29, 30, 31;-
