activity;start_time;completion_time;duration;predecessors;resources
4;1;8;8;1;r2(7),r3(6),r4(4)
5;9;14;6;4;r2(10),r4(4)
7;4;11;8;3;r2(10),r3(3),r4(5)
8;18;22;5;5;r1(4),r2(10),r3(1)
9;12;15;4;2;r2(8),r4(9)
10;15;22;8;5;r3(5)
11;23;31;9;10;r2(8),r3(4)
13;12;16;5;7;r1(10),r3(8),r4(8)
14;16;25;10;9;r2(1)
16;32;35;4;11, 13;r2(2)
17;26;34;9;14;r1(4),r3(3),r4(8)
18;36;42;7;12, 16, 17;r4(4)
19;24;31;8;8;r2(1)
22;32;37;6;11, 19;r2(7),r3(10),r4(1)
23;38;38;1;22;r2(2),r3(7)
26;35;43;9;17, 19;r4(8)
28;23;30;8;8;r2(10),r3(6)
30;39;43;5;23, 24, 28;r3(4),r4(5)
31;44;44;1;18, 26, 27;r3(9),r4(3)
32;44;44;0;29, 30, 31;-
