activity;start_time;completion_time;duration;predecessors;resources
6;2;10;9;4;r1(8),r2(8),r3(4),r4(5)
7;11;18;8;6;r1(7),r3(7)
8;8;10;3;2;r1(7),r2(7),r3(8),r4(5)
10;25;34;10;2, 5;r1(7),r2(2)
11;12;20;9;8;r1(6),r2(8),r3(8),r4(6)
12;14;23;10;8;r1(5),r2(4),r3(2),r4(2)
13;14;15;2;2;r1(1),r2(9),r3(1),r4(10)
15;24;28;5;12;r1(3),r3(4)
17;16;24;9;4, 13;r1(9),r2(9),r3(5),r4(10)
18;21;28;8;5;r1(2),r2(2),r4(10)
19;10;13;4;3;r2(1),r3(9)
20;19;28;10;14, 19;r1(9),r3(8),r4(5)
21;29;33;5;12, 17, 20;r1(4),r2(4),r3(8),r4(3)
23;25;28;4;19;r2(4),r3(5),r4(9)
24;24;28;5;11, 19;r1(7),r2(7),r3(6),r4(1)
25;29;35;7;16, 24;r2(4),r3(6),r4(7)
26;29;33;5;22, 23;r1(10),r2(3),r3(9),r4(9)
27;34;35;2;9;r1(1),r3(8),r4(9)
28;34;35;2;7, 21, 26;r1(8),r3(8),r4(9)
29;40;41;2;18, 24;r1(5),r4(4)
30;36;41;6;10, 15, 25;r2(7),r4(8)
31;36;41;6;5, 27, 28;r1(7),r2(1),r4(8)
32;41;41;0;29, 30, 31;-
