activity;start_time;completion_time;duration;predecessors;resources
6;22;31;10;4;r2(7),r3(5)
9;33;38;6;6;r1(7),r2(6),r3(6)
10;53;54;2;9;r1(2)
14;48;53;6;13;r2(9),r3(2),r4(8)
15;60;65;6;14;r2(10),r3(2),r4(8)
16;40;47;8;12;r1(7),r2(10),r4(9)
19;78;85;8;2, 14;r1(4),r2(4),r3(8),r4(7)
20;55;63;9;10, 16;r1(10),r3(4),r4(2)
22;79;84;6;17, 20;r1(5),r2(8),r3(5),r4(2)
23;67;74;8;15;r1(7),r3(7),r4(1)
24;54;57;4;14;r1(3),r2(9),r3(10)
25;86;89;4;10, 19, 21;r1(5),r2(7),r4(8)
26;90;90;1;9, 23, 24;r1(1),r2(7),r3(4),r4(9)
29;91;94;4;22, 25, 26;r1(4),r2(9),r3(9),r4(7)
