activity;start_time;completion_time;duration;predecessors;resources
2;9;14;6;1;r3(7)
5;5;5;1;3;r3(6)
6;6;10;5;5;r1(2)
7;11;11;1;6;r4(6)
8;8;10;3;3;r2(9)
9;12;16;5;7;r2(8)
10;11;16;6;8;r1(8)
12;17;20;4;2, 5;r1(7)
13;23;23;1;9;r1(8)
16;6;8;3;3;r3(5)
17;21;23;3;10, 14;r2(2)
18;9;10;2;16;r1(7)
19;17;19;3;18;r2(8)
22;28;31;4;13, 19;r4(1)
24;32;32;1;15, 22, 23;r4(5)
25;21;28;8;10, 11, 12;r2(9)
26;29;36;8;17;r2(5)
27;3;7;5;4;r2(9)
28;37;37;1;7, 11, 26;r2(4)
29;33;37;5;12, 20, 24;r2(4)
30;38;39;2;25, 27, 28;r2(9)
32;39;39;0;29, 30, 31;-
