activity;start_time;completion_time;duration;predecessors;resources
7;24;30;7;5;r1(10),r2(4),r3(2)
10;31;37;7;7;r3(10)
13;25;31;7;12;r4(2)
19;38;42;5;10, 16;r3(8),r4(7)
21;31;38;8;7, 18;r1(1),r2(7)
22;39;47;9;6, 21;r2(5),r3(1)
23;49;55;7;19;r2(4),r4(2)
24;51;57;7;7;r2(8),r3(8)
25;43;50;8;6, 13, 21;r2(10),r3(8)
26;58;66;9;6, 20, 23;r1(1),r2(6),r3(6)
27;48;57;10;19, 22;r1(5),r3(6)
28;47;53;7;15, 21;r2(4)
29;67;67;1;24, 26;r2(3),r3(1),r4(9)
30;58;65;8;17, 20, 28;r1(9),r2(6),r3(7),r4(4)
31;62;65;4;11, 25, 27;r1(6),r4(6)
32;67;67;0;29, 30, 31;-
