activity;start_time;completion_time;duration;predecessors;resources
6;9;12;4;2;r1(7),r2(9)
7;11;18;8;3;r1(8),r2(4),r3(7)
8;19;21;3;7;r1(5),r2(6),r3(2),r4(6)
9;13;15;3;6;r2(6),r3(7),r4(7)
10;22;30;9;8;r1(9),r2(9)
11;16;21;6;9;r1(2),r3(5)
13;24;28;5;9;r1(6),r2(4),r3(9),r4(2)
15;22;30;9;8;r1(3),r2(5),r3(5),r4(9)
16;33;37;5;7, 11, 13;r1(2),r2(7),r3(8)
17;19;27;9;6;r1(1),r2(4),r3(4)
18;2;10;9;4;r1(6),r3(5)
19;31;37;7;12, 17;r1(5),r2(8),r3(5),r4(6)
20;38;44;7;10, 14;r3(6),r4(8)
21;46;53;8;16, 17, 20;r1(7),r2(4),r3(8)
22;31;36;6;10;r1(3),r3(7),r4(6)
23;37;46;10;13, 22;r1(8),r3(8),r4(2)
24;54;55;2;15, 21;r1(4),r4(2)
25;45;45;1;13;r1(10),r2(8),r3(1),r4(1)
26;47;55;9;19, 20, 23;r1(10),r2(3),r3(9),r4(3)
27;49;51;3;14, 18;r2(8),r3(3)
28;38;44;7;16;r1(10),r3(6)
29;14;23;10;18;r1(6),r2(4),r3(6),r4(8)
30;56;62;7;18, 24, 26;r1(9),r3(8),r4(1)
31;54;62;9;25, 27, 28;r2(7),r3(8),r4(9)
32;62;62;0;29, 30, 31;-
