activity;start_time;completion_time;duration;predecessors;resources
5;2;8;7;3;r3(2),r4(10)
6;3;6;4;3;r1(9),r2(2),r3(10)
7;7;16;10;3;r1(5),r2(10),r3(7),r4(2)
8;9;15;7;2, 5;r3(8)
9;8;16;9;4;r1(10),r4(4)
10;17;24;8;7;r1(6)
11;7;15;9;6;r1(7)
13;18;20;3;7;r1(10),r4(10)
15;16;25;10;11;r1(4),r4(5)
16;16;21;6;8;r3(7),r4(1)
18;25;32;8;10;r1(9),r2(5)
19;22;28;7;16;r1(6),r2(5),r4(10)
24;34;34;1;18, 19;r3(8)
26;35;35;1;13, 15, 23;r1(9),r4(9)
29;37;40;4;9, 22, 28;r1(7),r3(7),r4(6)
30;36;42;7;17, 24, 26;r1(7),r2(6),r3(2)
32;42;42;0;29, 30, 31;-
