activity;start_time;completion_time;duration;predecessors;resources
2;1;9;9;1;r1(3),r2(7),r4(10)
4;1;9;9;1;r1(7),r2(5),r3(7)
5;10;19;10;2;r1(4),r2(6),r3(10),r4(8)
6;10;17;8;4;r1(8),r2(4),r3(7),r4(8)
7;23;23;1;3;r1(9),r2(7),r3(1),r4(3)
8;20;29;10;6;r1(3),r3(2),r4(4)
9;18;23;6;4;r1(4),r3(3),r4(8)
13;6;9;4;3;r1(6),r3(5),r4(3)
14;33;34;2;8, 10;r1(4),r2(10),r3(9),r4(5)
15;24;27;4;5;r3(4),r4(7)
16;18;27;10;4, 13;r1(3),r2(6),r3(4)
17;38;46;9;6;r1(6),r2(9),r4(7)
18;14;22;9;3;r1(5),r2(2),r3(3),r4(4)
19;28;37;10;15;r2(9)
21;43;49;7;11, 19;r1(7),r3(6),r4(4)
22;24;32;9;7, 9, 18;r1(5),r2(5),r3(2),r4(1)
23;47;51;5;17, 19;r1(4),r3(9),r4(9)
25;35;37;3;13, 14, 22;r2(8),r4(3)
26;38;45;8;16, 25;r1(7),r2(10),r3(9)
27;46;49;4;26;r2(7),r3(8),r4(10)
28;50;51;2;21, 24, 27;r1(3),r3(1)
30;52;58;7;12, 23, 28;r1(2),r2(2),r3(3),r4(8)
32;58;58;0;29, 30, 31;-
