activity;start_time;completion_time;duration;predecessors;resources
6;14;22;9;5;r2(9),r3(10)
7;28;32;5;6;r1(4)
9;24;32;9;6;r1(4),r3(6)
10;23;27;5;5;r1(10),r2(4)
11;33;39;7;7, 9;r1(8),r3(9)
12;28;33;6;6, 10;r1(2),r2(9),r4(2)
13;42;42;1;11;r3(4)
15;40;43;4;9, 12;r1(1)
17;34;42;9;7;r1(5),r4(1)
18;34;42;9;7, 16;r1(1),r2(7),r4(6)
19;43;46;4;12;r2(10),r3(6)
22;50;51;2;19;r1(5)
24;43;46;4;17, 18, 21;r1(3),r3(5),r4(4)
25;47;55;9;24;r2(3),r3(6),r4(8)
28;56;63;8;10, 23;r1(6),r2(5),r4(10)
29;64;70;7;25, 27, 28;r1(6)
30;46;52;7;13, 15, 26;r1(9)
31;52;59;8;21, 22, 26;r3(4)
32;70;70;0;29, 30, 31;-
