activity;start_time;completion_time;duration;predecessors;resources
2;1;9;9;1;r2(10),r3(4),r4(8)
5;11;17;7;4;r1(4),r4(9)
6;18;24;7;2, 3, 5;r1(6),r2(10),r4(3)
7;13;16;4;2;r1(10),r2(6),r3(2),r4(5)
9;25;33;9;4;r1(7),r2(9),r3(3)
11;34;35;2;6;r1(5),r2(10),r4(10)
13;19;24;6;7;r1(1),r4(6)
14;36;36;1;5;r1(5),r2(9),r4(9)
15;37;39;3;14;r1(5),r3(6),r4(1)
18;25;33;9;13;r1(3),r2(6),r4(1)
21;40;49;10;18;r1(3),r2(8),r3(8),r4(2)
22;50;55;6;10, 21;r1(10),r2(7),r3(4),r4(1)
23;37;39;3;20;r1(9),r2(10),r3(8),r4(9)
24;62;65;4;22;r1(8),r2(10)
25;40;47;8;11, 15, 23;r1(2),r3(8),r4(1)
26;66;66;1;12, 17, 24;r2(9),r3(5),r4(9)
27;56;61;6;9, 25;r1(9),r2(7),r3(10),r4(6)
28;62;68;7;12, 27;r1(7),r4(1)
29;67;70;4;20, 26;r1(7),r2(1),r4(4)
31;69;69;1;22, 28;r1(7),r2(9),r3(5)
32;70;70;0;29, 30, 31;-
