activity;start_time;completion_time;duration;predecessors;resources
7;12;14;3;5;r2(10),r3(10),r4(3)
9;8;16;9;3;r2(9),r3(9)
10;19;24;6;9;r1(8),r2(1),r4(4)
12;15;21;7;4;r2(6),r4(3)
13;15;23;9;7;r2(6),r3(7)
21;22;26;5;12, 18;r2(4),r3(2)
22;31;32;2;10, 19;r2(3),r3(4),r4(10)
23;24;27;4;13;r1(8),r2(1),r4(1)
24;33;41;9;8, 16, 22;r2(9),r4(1)
26;27;31;5;21;r1(2),r3(9)
27;28;31;4;2, 23;r1(1)
28;32;37;6;25, 26, 27;r1(2),r2(10),r4(5)
29;38;44;7;17, 22, 28;r4(9)
31;42;44;3;18, 20, 24;r2(8),r3(4)
32;44;44;0;29, 30, 31;-
