activity;start_time;completion_time;duration;predecessors;resources
3;5;14;10;1;r1(10),r2(3),r3(4)
4;1;4;4;1;r1(8)
5;5;9;5;4;r2(2),r3(1),r4(3)
8;13;14;2;5;r2(10),r3(3)
9;15;24;10;8;r1(9),r4(10)
11;15;20;6;3;r1(1),r4(6)
14;23;32;10;2, 11;r2(7),r4(2)
17;25;26;2;9;r2(1),r3(2),r4(4)
19;27;32;6;17;r4(6)
21;33;36;4;14;r1(5),r4(6)
22;33;35;3;6, 18, 19;r2(9),r4(7)
25;27;30;4;17;r1(5),r3(1),r4(5)
26;32;37;6;11, 25;r1(7),r3(6),r4(1)
27;31;35;5;13, 25;r3(10)
28;36;36;1;10, 22, 23;r2(1),r3(10),r4(6)
29;37;42;6;13, 21, 28;r2(4),r3(6)
30;41;42;2;6, 24, 27;r1(3),r2(2),r4(1)
31;38;42;5;15, 16, 26;r1(4),r4(1)
32;42;42;0;29, 30, 31;-
