activity;start_time;completion_time;duration;predecessors;resources
9;19;25;7;6;r1(7),r4(3)
12;19;23;5;6;r1(10),r2(7),r3(8),r4(7)
14;13;18;6;7;r3(10),r4(5)
15;16;25;10;6, 13;r2(4),r3(7)
16;24;25;2;12;r2(10),r4(8)
17;26;30;5;9;r2(4),r3(4),r4(5)
18;24;29;6;4;r1(10),r3(4),r4(8)
19;38;45;8;11, 17;r3(10),r4(8)
21;33;40;8;14, 15, 16;r1(4),r4(9)
23;46;52;7;19;r2(7)
24;31;37;7;14;r1(10),r2(3),r4(10)
25;26;32;7;8, 11, 16;r1(6),r2(10),r3(8),r4(7)
26;33;42;10;3, 25;r1(7)
27;43;52;10;21, 24, 26;r2(2),r3(6)
30;53;61;9;23, 27, 28;r1(9),r2(5),r4(8)
32;61;61;0;29, 30, 31;-
