subjects;semesters;credits;compulsory
Discrete Mathematics;1 (Autumn);10;No
Games Technology;1 (Autumn);10;No
Systems Analysis and Design;1 (Autumn);10;Yes
Statistical Decision Making;1 (Autumn);10;Yes
Computer Networking;2 (Spring);10;Yes
Programming Fundamentals;2 (Spring);10;Yes
Social Web Analytics;2 (Spring);10;Yes
Social Computing;2 (Spring);10;No
Computer Networks and Internets ;3 (Autumn);10;Yes
Human-Computer Interaction;3 (Autumn);10;Yes
Technologies for Web Applications;3 (Autumn);10;Yes
Principles of Professional Communication 1;4 (Spring);10;Yes
Database Design and Development;4 (Spring);10;Yes
Programming Techniques;4 (Spring);10;Yes
Computer Graphics;5 (Autumn);10;No
Object Oriented Analysis;5 (Autumn);10;Yes
Professional Development;5 (Autumn);10;Yes
Operating Systems Programming;5 (Autumn);10;Yes
Professional Experience;6 (Spring);10;Yes
Web Systems Development;6 (Spring);10;Yes
