subjects;semesters;credits;compulsory
Games Technology;1 (Autumn);10;No
Professional Development;1 (Autumn);10;Yes
Programming Fundamentals;1 (Autumn);10;Yes
Statistical Decision Making;1 (Autumn);10;Yes
Programming Techniques;2 (Spring);10;Yes
Social Web Analytics;2 (Spring);10;Yes
Computer Graphics;3 (Autumn);10;No
Human-Computer Interaction;3 (Autumn);10;Yes
Systems Analysis and Design;3 (Autumn);10;Yes
Operating Systems Programming;3 (Autumn);10;Yes
Principles of Professional Communication 1;4 (Spring);10;Yes
Database Design and Development;4 (Spring);10;Yes
Computer Networking;4 (Spring);10;Yes
Computer Networks and Internets ;5 (Autumn);10;Yes
Object Oriented Analysis;5 (Autumn);10;Yes
Technologies for Web Applications;5 (Autumn);10;Yes
Professional Experience;6 (Spring);10;Yes
Web Systems Development;6 (Spring);10;Yes
