subjects;semesters;credits;compulsory
Human-Computer Interaction;1 (Autumn);10;Yes
Professional Development;1 (Autumn);10;Yes
Systems Analysis and Design;1 (Autumn);10;Yes
Statistical Decision Making;1 (Autumn);10;Yes
Principles of Professional Communication 1;2 (Spring);10;Yes
Computer Networking;2 (Spring);10;Yes
Programming Fundamentals;2 (Spring);10;Yes
Social Web Analytics;2 (Spring);10;Yes
Discrete Mathematics;3 (Autumn);10;No
Computer Networks and Internets ;3 (Autumn);10;Yes
Object Oriented Analysis;3 (Autumn);10;Yes
Games Technology;3 (Autumn);10;No
Database Design and Development;4 (Spring);10;Yes
Object Oriented Programming;4 (Spring);10;No
Computer Graphics;5 (Autumn);10;No
Data Structures and Algorithms;5 (Autumn);10;No
Technologies for Web Applications;5 (Autumn);10;Yes
Operating Systems Programming;5 (Autumn);10;Yes
Professional Experience;6 (Spring);10;Yes
Programming Techniques;6 (Spring);10;Yes
Web Systems Development;6 (Spring);10;Yes
