subjects;semesters;credits;compulsory
Human-Computer Interaction;1 (Autumn);10;Yes
Professional Development;1 (Autumn);10;Yes
Programming Fundamentals;1 (Autumn);10;Yes
Statistical Decision Making;1 (Autumn);10;Yes
Principles of Professional Communication 1;2 (Spring);10;Yes
Computer Networking;2 (Spring);10;Yes
Introduction to Health Informatics;2 (Spring);10;No
Social Web Analytics;2 (Spring);10;Yes
Computer Networks and Internets ;3 (Autumn);10;Yes
Systems Analysis and Design;3 (Autumn);10;Yes
Fundamentals of Medical Concepts and Terminology;3 (Autumn);10;No
Database Design and Development;4 (Spring);10;Yes
Programming Techniques;4 (Spring);10;Yes
Healthcare Data Environments;4 (Spring);10;No
Healthcare Software and Systems;4 (Spring);10;No
Object Oriented Analysis;5 (Autumn);10;Yes
Technologies for Web Applications;5 (Autumn);10;Yes
Operating Systems Programming;5 (Autumn);10;Yes
Clinical Classification and Coding;5 (Autumn);10;No
Professional Experience;6 (Spring);10;Yes
Web Systems Development;6 (Spring);10;Yes
Social Computing;6 (Spring);10;No
