PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 9          | 16              | 8        | 1            | 1             | 10             | 
| 3        | 1          | 3               | 3        | 1            | 2             | 4              | 
| 4        | 1          | 6               | 6        | 1            | 2             | 5              | 
| 5        | 4          | 12              | 9        | 3            | 2             | 4              | 
| 6        | 15         | 22              | 8        | 5            | 3             | 6              | 
| 7        | 29         | 34              | 6        | 5            | 4             | 8              | 
| 8        | 7          | 10              | 4        | 4            | 4             | 5              | 
| 9        | 21         | 25              | 5        | 2            | 2             | 8              | 
| 10       | 5          | 8               | 4        | 3            | 4             | 1              | 
| 11       | 4          | 8               | 5        | 3            | 1             | 8              | 
| 12       | 21         | 27              | 7        | 8, 10        | 1             | 10             | 
| 13       | 36         | 36              | 1        | 5, 11        | 1             | 1              | 
| 14       | 11         | 20              | 10       | 8, 10        | 2             | 8              | 
| 15       | 36         | 36              | 1        | 4, 6         | 3             | 4              | 
| 16       | 21         | 25              | 5        | 14           | 4             | 3              | 
| 17       | 17         | 20              | 4        | 2            | 4             | 9              | 
| 18       | 26         | 35              | 10       | 9, 16        | 3             | 10             | 
| 19       | 23         | 25              | 3        | 4, 17        | 3             | 3              | 
| 20       | 21         | 25              | 5        | 17           | 3             | 5              | 
| 21       | 36         | 45              | 10       | 18           | 2             | 2              | 
| 22       | 44         | 44              | 1        | 9            | 3             | 5              | 
| 23       | 26         | 26              | 1        | 9            | 2             | 2              | 
| 24       | 42         | 44              | 3        | 23           | 1             | 3              | 
| 25       | 26         | 35              | 10       | 2            | 2             | 8              | 
| 26       | 36         | 36              | 1        | 19, 20, 25   | 4             | 3              | 
| 27       | 45         | 45              | 1        | 12, 22, 24   | 2             | 1              | 
| 28       | 37         | 43              | 7        | 13, 15, 26   | 3             | 5              | 
| 29       | 46         | 53              | 8        | 11, 21, 27   | 2             | 10             | 
| 30       | 45         | 53              | 9        | 7            | 3             | 7              | 
| 31       | 44         | 45              | 2        | 7, 28        | 2             | 6              | 
| 32       | 53         | 53              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is activity 25 completed at time period 35 instead of time period 34? 

Write a brief explanation without listing reasons. 

OUTPUT:
