PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 1          | 2               | 2        | 1            | 3             | 2              | 
| 3        | 1          | 10              | 10       | 1            | 2             | 8              | 
| 4        | 1          | 7               | 7        | 1            | 3             | 7              | 
| 5        | 11         | 11              | 1        | 3            | 1             | 8              | 
| 6        | 12         | 14              | 3        | 5            | 4             | 8              | 
| 7        | 8          | 13              | 6        | 4            | 3             | 5              | 
| 8        | 16         | 17              | 2        | 7            | 2             | 9              | 
| 9        | 11         | 20              | 10       | 3            | 4             | 2              | 
| 10       | 3          | 7               | 5        | 2            | 1             | 1              | 
| 11       | 14         | 22              | 9        | 7            | 1             | 2              | 
| 12       | 8          | 11              | 4        | 10           | 3             | 6              | 
| 13       | 20         | 23              | 4        | 4, 6         | 2             | 5              | 
| 14       | 24         | 25              | 2        | 9            | 3             | 10             | 
| 15       | 25         | 28              | 4        | 3            | 4             | 10             | 
| 16       | 15         | 24              | 10       | 6            | 1             | 10             | 
| 17       | 14         | 23              | 10       | 5            | 3             | 7              | 
| 18       | 25         | 31              | 7        | 6            | 1             | 5              | 
| 19       | 15         | 24              | 10       | 7            | 4             | 7              | 
| 20       | 28         | 34              | 7        | 16           | 3             | 3              | 
| 21       | 29         | 30              | 2        | 11, 15, 17   | 2             | 7              | 
| 22       | 8          | 8               | 1        | 10           | 1             | 10             | 
| 23       | 34         | 35              | 2        | 18           | 1             | 8              | 
| 24       | 29         | 30              | 2        | 12           | 4             | 8              | 
| 25       | 36         | 37              | 2        | 13, 14, 19   | 4             | 7              | 
| 26       | 25         | 33              | 9        | 11, 16, 17   | 1             | 7              | 
| 27       | 34         | 34              | 1        | 8, 22, 26    | 4             | 1              | 
| 28       | 36         | 39              | 4        | 9            | 1             | 8              | 
| 29       | 31         | 37              | 7        | 17, 22, 24   | 2             | 3              | 
| 30       | 40         | 47              | 8        | 25, 27, 28   | 3             | 8              | 
| 31       | 37         | 45              | 9        | 20, 21, 23   | 2             | 6              | 
| 32       | 47         | 47              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is activity 28 not completed before time period 39? 

Write a brief explanation without listing reasons. 

OUTPUT:
