PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 1          | 7               | 7        | 1            | 1             | 6              | 
| 3        | 1          | 9               | 9        | 1            | 1             | 5              | 
| 4        | 1          | 1               | 1        | 1            | 1             | 4              | 
| 5        | 10         | 10              | 1        | 3            | 1             | 5              | 
| 6        | 2          | 10              | 9        | 4            | 1             | 8              | 
| 7        | 11         | 18              | 8        | 6            | 1             | 7              | 
| 8        | 8          | 10              | 3        | 2            | 1             | 7              | 
| 9        | 11         | 11              | 1        | 3            | 1             | 1              | 
| 10       | 25         | 34              | 10       | 2, 5         | 1             | 7              | 
| 11       | 12         | 20              | 9        | 8            | 1             | 6              | 
| 12       | 14         | 23              | 10       | 8            | 1             | 5              | 
| 13       | 14         | 15              | 2        | 2            | 1             | 1              | 
| 14       | 12         | 12              | 1        | 9            | 1             | 4              | 
| 15       | 24         | 28              | 5        | 12           | 1             | 3              | 
| 16       | 2          | 4               | 3        | 4            | 4             | 7              | 
| 17       | 16         | 24              | 9        | 4, 13        | 1             | 9              | 
| 18       | 21         | 28              | 8        | 5            | 1             | 2              | 
| 19       | 10         | 13              | 4        | 3            | 2             | 1              | 
| 20       | 19         | 28              | 10       | 14, 19       | 1             | 9              | 
| 21       | 29         | 33              | 5        | 12, 17, 20   | 1             | 4              | 
| 22       | 11         | 13              | 3        | 6            | 2             | 4              | 
| 23       | 25         | 28              | 4        | 19           | 2             | 4              | 
| 24       | 24         | 28              | 5        | 11, 19       | 1             | 7              | 
| 25       | 29         | 35              | 7        | 16, 24       | 2             | 4              | 
| 26       | 29         | 33              | 5        | 22, 23       | 1             | 10             | 
| 27       | 34         | 35              | 2        | 9            | 1             | 1              | 
| 28       | 34         | 35              | 2        | 7, 21, 26    | 1             | 8              | 
| 29       | 40         | 41              | 2        | 18, 24       | 1             | 5              | 
| 30       | 36         | 41              | 6        | 10, 15, 25   | 2             | 7              | 
| 31       | 36         | 41              | 6        | 5, 27, 28    | 1             | 7              | 
| 32       | 41         | 41              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is activity 28 not completed at time period 81? 

Write a brief explanation without listing reasons. 

OUTPUT:
