PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 11         | 16              | 6        | 1            | 1             | 3              | 
| 3        | 1          | 6               | 6        | 1            | 1             | 10             | 
| 4        | 1          | 8               | 8        | 1            | 2             | 2              | 
| 5        | 34         | 38              | 5        | 2            | 1             | 9              | 
| 6        | 39         | 46              | 8        | 5            | 1             | 10             | 
| 7        | 9          | 10              | 2        | 4            | 2             | 6              | 
| 8        | 35         | 39              | 5        | 4            | 1             | 5              | 
| 9        | 11         | 15              | 5        | 7            | 2             | 8              | 
| 10       | 28         | 33              | 6        | 9            | 1             | 7              | 
| 11       | 7          | 9               | 3        | 3            | 1             | 3              | 
| 12       | 21         | 26              | 6        | 9            | 1             | 8              | 
| 13       | 40         | 43              | 4        | 10           | 1             | 6              | 
| 14       | 16         | 20              | 5        | 9            | 1             | 9              | 
| 15       | 49         | 54              | 6        | 10           | 2             | 8              | 
| 16       | 55         | 60              | 6        | 4            | 2             | 10             | 
| 17       | 39         | 43              | 5        | 10, 12       | 3             | 3              | 
| 18       | 17         | 20              | 4        | 11           | 1             | 3              | 
| 19       | 55         | 58              | 4        | 6, 17        | 1             | 8              | 
| 20       | 27         | 33              | 7        | 14           | 1             | 8              | 
| 21       | 59         | 67              | 9        | 13, 19, 20   | 2             | 3              | 
| 22       | 68         | 75              | 8        | 8, 16, 21    | 1             | 3              | 
| 23       | 21         | 27              | 7        | 18           | 1             | 4              | 
| 24       | 51         | 52              | 2        | 7            | 1             | 1              | 
| 25       | 62         | 66              | 5        | 8, 13        | 2             | 5              | 
| 26       | 44         | 48              | 5        | 14           | 2             | 3              | 
| 27       | 67         | 69              | 3        | 18, 24, 25   | 1             | 4              | 
| 28       | 47         | 50              | 4        | 7            | 1             | 8              | 
| 29       | 76         | 83              | 8        | 11, 15, 22   | 1             | 8              | 
| 30       | 77         | 83              | 7        | 19, 23, 27   | 2             | 2              | 
| 31       | 70         | 75              | 6        | 11, 26, 28   | 1             | 10             | 
| 32       | 83         | 83              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is activity 29 not completed at time period 97? 

Write a brief explanation without listing reasons. 

OUTPUT:
