PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 1          | 4               | 4        | 1            | 3             | 3              | 
| 3        | 1          | 7               | 7        | 1            | 3             | 6              | 
| 4        | 1          | 7               | 7        | 1            | 1             | 4              | 
| 5        | 8          | 15              | 8        | 4            | 3             | 4              | 
| 6        | 5          | 6               | 2        | 2            | 3             | 3              | 
| 7        | 5          | 6               | 2        | 2            | 3             | 10             | 
| 8        | 7          | 8               | 2        | 6            | 3             | 6              | 
| 9        | 5          | 6               | 2        | 2            | 4             | 6              | 
| 10       | 8          | 9               | 2        | 3            | 3             | 10             | 
| 11       | 9          | 17              | 9        | 8            | 3             | 6              | 
| 12       | 7          | 8               | 2        | 7            | 3             | 6              | 
| 13       | 18         | 20              | 3        | 11           | 1             | 10             | 
| 14       | 7          | 13              | 7        | 9            | 4             | 6              | 
| 15       | 21         | 23              | 3        | 12, 13       | 4             | 7              | 
| 16       | 10         | 16              | 7        | 10, 12       | 3             | 1              | 
| 17       | 24         | 27              | 4        | 15           | 2             | 3              | 
| 18       | 18         | 18              | 1        | 10, 11       | 4             | 4              | 
| 19       | 14         | 18              | 5        | 6, 14        | 4             | 9              | 
| 20       | 24         | 24              | 1        | 15           | 2             | 1              | 
| 21       | 16         | 18              | 3        | 5            | 2             | 5              | 
| 22       | 8          | 9               | 2        | 3            | 2             | 8              | 
| 23       | 19         | 28              | 10       | 16, 21, 22   | 2             | 9              | 
| 24       | 18         | 23              | 6        | 11           | 2             | 10             | 
| 25       | 29         | 36              | 8        | 19, 23       | 2             | 5              | 
| 26       | 37         | 41              | 5        | 8, 25        | 1             | 3              | 
| 27       | 29         | 33              | 5        | 19, 23       | 4             | 10             | 
| 28       | 34         | 37              | 4        | 17, 20, 27   | 2             | 7              | 
| 29       | 38         | 43              | 6        | 18, 28       | 3             | 4              | 
| 30       | 19         | 25              | 7        | 6, 21        | 2             | 3              | 
| 31       | 42         | 49              | 8        | 15, 24, 26   | 4             | 2              | 
| 32       | 49         | 49              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is activity 25 completed at time period 36 instead of time period 37? 

Write a brief explanation without listing reasons. 

OUTPUT:
