PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 1          | 5               | 5        | 1            | 1             | 9              | 
| 3        | 1          | 2               | 2        | 1            | 1             | 7              | 
| 4        | 1          | 7               | 7        | 1            | 1             | 4              | 
| 5        | 6          | 12              | 7        | 2            | 1             | 8              | 
| 6        | 8          | 14              | 7        | 3            | 2             | 1              | 
| 7        | 13         | 22              | 10       | 4            | 1             | 6              | 
| 8        | 13         | 13              | 1        | 5            | 1             | 2              | 
| 9        | 18         | 20              | 3        | 3, 8         | 2             | 8              | 
| 10       | 6          | 7               | 2        | 2            | 4             | 9              | 
| 11       | 28         | 30              | 3        | 9            | 1             | 6              | 
| 12       | 24         | 29              | 6        | 6            | 2             | 3              | 
| 13       | 3          | 5               | 3        | 3            | 3             | 1              | 
| 14       | 8          | 17              | 10       | 10           | 1             | 3              | 
| 15       | 8          | 10              | 3        | 4            | 1             | 8              | 
| 16       | 24         | 33              | 10       | 14           | 1             | 9              | 
| 17       | 18         | 20              | 3        | 8            | 1             | 8              | 
| 18       | 15         | 23              | 9        | 6            | 1             | 9              | 
| 19       | 13         | 22              | 10       | 5            | 2             | 10             | 
| 20       | 23         | 26              | 4        | 5, 15        | 1             | 7              | 
| 21       | 28         | 37              | 10       | 9, 19, 20    | 2             | 7              | 
| 22       | 31         | 37              | 7        | 10           | 1             | 1              | 
| 23       | 26         | 30              | 5        | 17, 18       | 3             | 7              | 
| 24       | 29         | 33              | 5        | 6, 7         | 1             | 1              | 
| 25       | 30         | 37              | 8        | 14           | 2             | 10             | 
| 26       | 23         | 31              | 9        | 4, 19        | 1             | 7              | 
| 27       | 32         | 37              | 6        | 11, 26       | 1             | 6              | 
| 28       | 37         | 37              | 1        | 2, 12        | 1             | 4              | 
| 29       | 38         | 39              | 2        | 22, 27, 28   | 1             | 8              | 
| 30       | 34         | 37              | 4        | 13, 16, 24   | 1             | 9              | 
| 31       | 38         | 39              | 2        | 21, 23, 25   | 1             | 10             | 
| 32       | 39         | 39              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is the subset of activities 20, 18 not completed at time period 26? 

Write a brief explanation without listing reasons. 

OUTPUT:
