PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 1          | 9               | 9        | 1            | 3             | 4              | 
| 3        | 1          | 2               | 2        | 1            | 1             | 1              | 
| 4        | 1          | 7               | 7        | 1            | 2             | 5              | 
| 5        | 3          | 6               | 4        | 3            | 2             | 2              | 
| 6        | 10         | 16              | 7        | 2            | 1             | 4              | 
| 7        | 10         | 15              | 6        | 2            | 1             | 7              | 
| 8        | 8          | 10              | 3        | 4            | 1             | 4              | 
| 9        | 17         | 22              | 6        | 6            | 1             | 2              | 
| 10       | 23         | 29              | 7        | 9            | 2             | 4              | 
| 11       | 30         | 36              | 7        | 10           | 4             | 1              | 
| 12       | 37         | 39              | 3        | 11           | 1             | 3              | 
| 13       | 17         | 25              | 9        | 6            | 1             | 1              | 
| 14       | 17         | 22              | 6        | 6            | 1             | 10             | 
| 15       | 10         | 14              | 5        | 2            | 1             | 7              | 
| 16       | 30         | 36              | 7        | 7, 8, 10     | 1             | 10             | 
| 17       | 40         | 45              | 6        | 12           | 1             | 4              | 
| 18       | 26         | 31              | 6        | 13           | 2             | 7              | 
| 19       | 37         | 40              | 4        | 11, 18       | 1             | 9              | 
| 20       | 23         | 28              | 6        | 9, 15        | 3             | 2              | 
| 21       | 41         | 45              | 5        | 16, 19       | 4             | 2              | 
| 22       | 30         | 35              | 6        | 10           | 3             | 6              | 
| 23       | 36         | 42              | 7        | 15, 22       | 1             | 7              | 
| 24       | 40         | 41              | 2        | 12           | 1             | 7              | 
| 25       | 46         | 51              | 6        | 15, 21       | 2             | 3              | 
| 26       | 43         | 43              | 1        | 12, 23       | 1             | 10             | 
| 27       | 42         | 43              | 2        | 5, 20, 24    | 2             | 10             | 
| 28       | 52         | 60              | 9        | 25, 26, 27   | 2             | 6              | 
| 29       | 44         | 44              | 1        | 13, 26       | 3             | 7              | 
| 30       | 23         | 31              | 9        | 9            | 3             | 10             | 
| 31       | 61         | 67              | 7        | 14, 17, 28   | 1             | 6              | 
| 32       | 67         | 67              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is activity 10 completed at time period 29 instead of activity 20? 

Write a brief explanation without listing reasons. 

OUTPUT:
