PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 9          | 18              | 10       | 1            | 1             | 8              | 
| 3        | 1          | 8               | 8        | 1            | 1             | 6              | 
| 4        | 43         | 50              | 8        | 1            | 1             | 7              | 
| 5        | 26         | 29              | 4        | 2            | 1             | 7              | 
| 6        | 19         | 21              | 3        | 3            | 1             | 6              | 
| 7        | 30         | 32              | 3        | 5            | 2             | 1              | 
| 8        | 53         | 54              | 2        | 6            | 1             | 8              | 
| 9        | 23         | 24              | 2        | 3            | 1             | 8              | 
| 10       | 9          | 12              | 4        | 3            | 2             | 8              | 
| 11       | 38         | 47              | 10       | 6            | 2             | 1              | 
| 12       | 13         | 21              | 9        | 10           | 2             | 4              | 
| 13       | 33         | 42              | 10       | 7            | 1             | 3              | 
| 14       | 13         | 21              | 9        | 10           | 1             | 4              | 
| 15       | 23         | 32              | 10       | 6            | 2             | 10             | 
| 16       | 25         | 29              | 5        | 12           | 1             | 6              | 
| 17       | 60         | 61              | 2        | 2, 4         | 1             | 9              | 
| 18       | 62         | 63              | 2        | 9, 17        | 1             | 1              | 
| 19       | 38         | 40              | 3        | 10, 15       | 1             | 7              | 
| 20       | 30         | 32              | 3        | 16           | 1             | 7              | 
| 21       | 33         | 37              | 5        | 9            | 1             | 4              | 
| 22       | 51         | 52              | 2        | 11, 12, 19   | 1             | 4              | 
| 23       | 33         | 39              | 7        | 20           | 2             | 9              | 
| 24       | 48         | 54              | 7        | 13           | 1             | 1              | 
| 25       | 22         | 25              | 4        | 2, 14        | 2             | 4              | 
| 26       | 41         | 47              | 7        | 21, 23, 25   | 1             | 6              | 
| 27       | 55         | 60              | 6        | 8, 14, 24    | 1             | 1              | 
| 28       | 55         | 59              | 5        | 22           | 1             | 7              | 
| 29       | 64         | 66              | 3        | 5, 25        | 2             | 7              | 
| 30       | 61         | 68              | 8        | 9, 27, 28    | 1             | 4              | 
| 31       | 64         | 68              | 5        | 13, 18, 26   | 1             | 9              | 
| 32       | 68         | 68              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is activity 28 not completed at time period 82? 

Write a brief explanation without listing reasons. 

OUTPUT:
