PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 1          | 6               | 6        | 1            | 3             | 9              | 
| 3        | 7          | 8               | 2        | 1            | 1             | 8              | 
| 4        | 1          | 6               | 6        | 1            | 1             | 9              | 
| 5        | 9          | 10              | 2        | 3            | 1             | 8              | 
| 6        | 13         | 13              | 1        | 5            | 4             | 2              | 
| 7        | 7          | 7               | 1        | 4            | 1             | 3              | 
| 8        | 14         | 17              | 4        | 6            | 2             | 7              | 
| 9        | 11         | 12              | 2        | 5            | 1             | 4              | 
| 10       | 8          | 17              | 10       | 7            | 4             | 4              | 
| 11       | 9          | 12              | 4        | 3            | 3             | 1              | 
| 12       | 19         | 28              | 10       | 8            | 3             | 5              | 
| 13       | 8          | 11              | 4        | 7            | 2             | 7              | 
| 14       | 15         | 22              | 8        | 6, 9         | 4             | 8              | 
| 15       | 13         | 21              | 9        | 11, 13       | 2             | 8              | 
| 16       | 18         | 18              | 1        | 3            | 3             | 3              | 
| 17       | 13         | 15              | 3        | 2            | 1             | 6              | 
| 18       | 35         | 38              | 4        | 8, 17        | 1             | 3              | 
| 19       | 21         | 22              | 2        | 5            | 4             | 5              | 
| 20       | 28         | 34              | 7        | 15           | 2             | 5              | 
| 21       | 12         | 21              | 10       | 13           | 1             | 5              | 
| 22       | 24         | 25              | 2        | 9, 21        | 4             | 7              | 
| 23       | 29         | 36              | 8        | 8            | 4             | 8              | 
| 24       | 18         | 27              | 10       | 10, 17       | 2             | 8              | 
| 25       | 22         | 22              | 1        | 10           | 2             | 7              | 
| 26       | 23         | 29              | 7        | 16, 19, 25   | 2             | 5              | 
| 27       | 30         | 30              | 1        | 22, 24, 26   | 2             | 5              | 
| 28       | 31         | 40              | 10       | 12, 14, 27   | 3             | 1              | 
| 29       | 35         | 43              | 9        | 20, 27       | 4             | 3              | 
| 30       | 41         | 43              | 3        | 18, 20, 28   | 2             | 6              | 
| 31       | 38         | 41              | 4        | 13, 23       | 4             | 8              | 
| 32       | 43         | 43              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is activity 19 completed at time period 22 instead of activity 15? 

Write a brief explanation without listing reasons. 

OUTPUT:
