PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 1          | 10              | 10       | 1            | 2             | 7              | 
| 3        | 11         | 16              | 6        | 1            | 1             | 10             | 
| 4        | 1          | 10              | 10       | 1            | 1             | 9              | 
| 5        | 27         | 34              | 8        | 4            | 1             | 4              | 
| 6        | 15         | 20              | 6        | 4            | 1             | 2              | 
| 7        | 11         | 14              | 4        | 2            | 1             | 2              | 
| 8        | 21         | 25              | 5        | 6            | 3             | 3              | 
| 9        | 17         | 21              | 5        | 3            | 2             | 10             | 
| 10       | 31         | 39              | 9        | 7            | 1             | 9              | 
| 11       | 17         | 25              | 9        | 4            | 1             | 8              | 
| 12       | 24         | 33              | 10       | 3            | 2             | 3              | 
| 13       | 33         | 41              | 9        | 7            | 2             | 9              | 
| 14       | 23         | 31              | 9        | 9            | 4             | 5              | 
| 15       | 26         | 30              | 5        | 8            | 1             | 8              | 
| 16       | 40         | 48              | 9        | 14           | 1             | 6              | 
| 17       | 40         | 48              | 9        | 2            | 1             | 7              | 
| 18       | 51         | 55              | 5        | 5            | 1             | 9              | 
| 19       | 34         | 37              | 4        | 2, 12        | 2             | 2              | 
| 20       | 26         | 32              | 7        | 8            | 1             | 2              | 
| 21       | 50         | 53              | 4        | 14, 19       | 2             | 4              | 
| 22       | 54         | 58              | 5        | 12           | 4             | 3              | 
| 23       | 42         | 47              | 6        | 8, 19        | 2             | 2              | 
| 24       | 35         | 39              | 5        | 5, 11, 20    | 3             | 10             | 
| 25       | 42         | 49              | 8        | 13           | 1             | 2              | 
| 26       | 49         | 50              | 2        | 16, 17, 24   | 1             | 5              | 
| 27       | 49         | 55              | 7        | 13, 15       | 1             | 2              | 
| 28       | 51         | 54              | 4        | 5, 23        | 2             | 5              | 
| 29       | 59         | 63              | 5        | 10, 21, 22   | 1             | 5              | 
| 30       | 56         | 63              | 8        | 18, 25, 26   | 1             | 8              | 
| 31       | 57         | 63              | 7        | 9, 27, 28    | 3             | 4              | 
| 32       | 63         | 63              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is activity 20 not completed at time period 98? 

Write a brief explanation without listing reasons. 

OUTPUT:
