PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 1          | 9               | 9        | 1            | 1             | 3              | 
| 3        | 1          | 5               | 5        | 1            | 2             | 2              | 
| 4        | 1          | 9               | 9        | 1            | 1             | 7              | 
| 5        | 10         | 19              | 10       | 2            | 1             | 4              | 
| 6        | 10         | 17              | 8        | 4            | 1             | 8              | 
| 7        | 23         | 23              | 1        | 3            | 1             | 9              | 
| 8        | 20         | 29              | 10       | 6            | 1             | 3              | 
| 9        | 18         | 23              | 6        | 4            | 1             | 4              | 
| 10       | 10         | 12              | 3        | 2            | 2             | 7              | 
| 11       | 34         | 42              | 9        | 2            | 1             | 4              | 
| 12       | 24         | 33              | 10       | 6            | 1             | 2              | 
| 13       | 6          | 9               | 4        | 3            | 1             | 6              | 
| 14       | 33         | 34              | 2        | 8, 10        | 1             | 4              | 
| 15       | 24         | 27              | 4        | 5            | 3             | 4              | 
| 16       | 18         | 27              | 10       | 4, 13        | 1             | 3              | 
| 17       | 38         | 46              | 9        | 6            | 1             | 6              | 
| 18       | 14         | 22              | 9        | 3            | 1             | 5              | 
| 19       | 28         | 37              | 10       | 15           | 2             | 9              | 
| 20       | 32         | 32              | 1        | 16           | 1             | 5              | 
| 21       | 43         | 49              | 7        | 11, 19       | 1             | 7              | 
| 22       | 24         | 32              | 9        | 7, 9, 18     | 1             | 5              | 
| 23       | 47         | 51              | 5        | 17, 19       | 1             | 4              | 
| 24       | 33         | 37              | 5        | 20           | 1             | 5              | 
| 25       | 35         | 37              | 3        | 13, 14, 22   | 2             | 8              | 
| 26       | 38         | 45              | 8        | 16, 25       | 1             | 7              | 
| 27       | 46         | 49              | 4        | 26           | 2             | 7              | 
| 28       | 50         | 51              | 2        | 21, 24, 27   | 1             | 3              | 
| 29       | 53         | 53              | 1        | 10, 22       | 2             | 9              | 
| 30       | 52         | 58              | 7        | 12, 23, 28   | 1             | 2              | 
| 31       | 51         | 58              | 8        | 10, 24       | 2             | 7              | 
| 32       | 58         | 58              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is activity 25 completed at time period 37 instead of time period 36? 

Write a brief explanation without listing reasons. 

OUTPUT:
