PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 1          | 6               | 6        | 1            | 1             | 1              | 
| 3        | 1          | 5               | 5        | 1            | 4             | 4              | 
| 4        | 1          | 7               | 7        | 1            | 2             | 6              | 
| 5        | 14         | 20              | 7        | 3            | 1             | 9              | 
| 6        | 8          | 11              | 4        | 4            | 2             | 5              | 
| 7        | 12         | 20              | 9        | 6            | 1             | 5              | 
| 8        | 6          | 14              | 9        | 3            | 1             | 6              | 
| 9        | 21         | 25              | 5        | 2, 7         | 1             | 6              | 
| 10       | 8          | 11              | 4        | 3, 4         | 1             | 5              | 
| 11       | 13         | 14              | 2        | 2, 6         | 1             | 1              | 
| 12       | 15         | 24              | 10       | 8            | 2             | 2              | 
| 13       | 21         | 27              | 7        | 6            | 1             | 7              | 
| 14       | 32         | 38              | 7        | 13           | 1             | 5              | 
| 15       | 12         | 12              | 1        | 10           | 1             | 4              | 
| 16       | 26         | 28              | 3        | 9            | 1             | 5              | 
| 17       | 29         | 34              | 6        | 12, 15       | 1             | 2              | 
| 18       | 36         | 37              | 2        | 4            | 1             | 1              | 
| 19       | 40         | 44              | 5        | 14           | 1             | 9              | 
| 20       | 29         | 38              | 10       | 5, 16        | 1             | 8              | 
| 21       | 28         | 31              | 4        | 9            | 1             | 7              | 
| 22       | 39         | 39              | 1        | 14, 17       | 1             | 9              | 
| 23       | 35         | 38              | 4        | 21           | 1             | 8              | 
| 24       | 39         | 46              | 8        | 9, 12        | 1             | 1              | 
| 25       | 45         | 46              | 2        | 11, 19       | 2             | 9              | 
| 26       | 47         | 53              | 7        | 25           | 1             | 10             | 
| 27       | 40         | 42              | 3        | 16, 22       | 1             | 9              | 
| 28       | 43         | 51              | 9        | 15, 20, 23   | 1             | 6              | 
| 29       | 47         | 55              | 9        | 18, 27       | 1             | 5              | 
| 30       | 54         | 56              | 3        | 18, 24, 26   | 1             | 1              | 
| 31       | 52         | 56              | 5        | 14, 28       | 3             | 3              | 
| 32       | 56         | 56              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is the subset of activities 21, 16 not completed at time period 31? 

Write a brief explanation without listing reasons. 

OUTPUT:
