PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 1          | 10              | 10       | 1            | 1             | 1              | 
| 3        | 1          | 5               | 5        | 1            | 4             | 10             | 
| 4        | 1          | 2               | 2        | 1            | 1             | 4              | 
| 5        | 3          | 6               | 4        | 4            | 1             | 2              | 
| 6        | 7          | 12              | 6        | 5            | 3             | 4              | 
| 7        | 3          | 8               | 6        | 4            | 2             | 4              | 
| 8        | 11         | 12              | 2        | 2            | 2             | 1              | 
| 9        | 13         | 14              | 2        | 8            | 1             | 7              | 
| 10       | 9          | 15              | 7        | 7            | 1             | 9              | 
| 11       | 6          | 7               | 2        | 3            | 1             | 1              | 
| 12       | 13         | 14              | 2        | 8, 11        | 1             | 2              | 
| 13       | 6          | 11              | 6        | 3            | 1             | 1              | 
| 14       | 16         | 22              | 7        | 10           | 2             | 6              | 
| 15       | 11         | 11              | 1        | 2            | 2             | 10             | 
| 16       | 3          | 5               | 3        | 4            | 1             | 7              | 
| 17       | 15         | 19              | 5        | 9            | 2             | 4              | 
| 18       | 23         | 26              | 4        | 14           | 3             | 3              | 
| 19       | 20         | 23              | 4        | 5, 17        | 3             | 3              | 
| 20       | 13         | 17              | 5        | 8            | 2             | 7              | 
| 21       | 7          | 15              | 9        | 5            | 1             | 6              | 
| 22       | 15         | 16              | 2        | 9            | 1             | 9              | 
| 23       | 13         | 21              | 9        | 6            | 1             | 7              | 
| 24       | 23         | 29              | 7        | 14, 22       | 1             | 5              | 
| 25       | 27         | 36              | 10       | 12, 13, 18   | 1             | 6              | 
| 26       | 30         | 38              | 9        | 19, 20, 24   | 2             | 8              | 
| 27       | 16         | 16              | 1        | 3, 10, 15    | 4             | 7              | 
| 28       | 37         | 44              | 8        | 16, 25, 27   | 2             | 3              | 
| 29       | 39         | 40              | 2        | 23, 26       | 2             | 2              | 
| 30       | 20         | 25              | 6        | 7, 17, 21    | 2             | 7              | 
| 31       | 45         | 48              | 4        | 23, 28       | 1             | 7              | 
| 32       | 48         | 48              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is activity 25 completed at time period 36 instead of time period 37? 

Write a brief explanation without listing reasons. 

OUTPUT:
