PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 1          | 9               | 9        | 1            | 1             | 3              | 
| 3        | 1          | 8               | 8        | 1            | 1             | 8              | 
| 4        | 1          | 1               | 1        | 1            | 1             | 2              | 
| 5        | 10         | 15              | 6        | 2            | 1             | 5              | 
| 6        | 16         | 21              | 6        | 3            | 1             | 7              | 
| 7        | 16         | 20              | 5        | 5            | 1             | 1              | 
| 8        | 11         | 16              | 6        | 2            | 1             | 3              | 
| 9        | 2          | 9               | 8        | 4            | 1             | 1              | 
| 10       | 2          | 2               | 1        | 4            | 1             | 4              | 
| 11       | 23         | 28              | 6        | 7            | 1             | 9              | 
| 12       | 9          | 16              | 8        | 3            | 1             | 2              | 
| 13       | 27         | 28              | 2        | 9            | 2             | 7              | 
| 14       | 9          | 13              | 5        | 3, 10        | 2             | 10             | 
| 15       | 14         | 18              | 5        | 14           | 1             | 6              | 
| 16       | 11         | 15              | 5        | 2            | 2             | 4              | 
| 17       | 21         | 27              | 7        | 7            | 1             | 5              | 
| 18       | 17         | 25              | 9        | 10, 16       | 2             | 8              | 
| 19       | 31         | 35              | 5        | 6, 13        | 1             | 3              | 
| 20       | 3          | 8               | 6        | 10           | 1             | 3              | 
| 21       | 26         | 26              | 1        | 12           | 1             | 1              | 
| 22       | 28         | 35              | 8        | 17, 21       | 2             | 9              | 
| 23       | 36         | 37              | 2        | 11           | 1             | 10             | 
| 24       | 20         | 25              | 6        | 14           | 1             | 3              | 
| 25       | 2          | 10              | 9        | 4            | 1             | 3              | 
| 26       | 26         | 35              | 10       | 7, 24        | 1             | 4              | 
| 27       | 29         | 30              | 2        | 6, 15, 18    | 1             | 9              | 
| 28       | 31         | 34              | 4        | 17, 24, 25   | 1             | 4              | 
| 29       | 36         | 41              | 6        | 20, 22, 26   | 1             | 9              | 
| 30       | 39         | 41              | 3        | 8, 19, 27    | 3             | 1              | 
| 31       | 38         | 41              | 4        | 13, 23, 28   | 2             | 10             | 
| 32       | 41         | 41              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is activity 24 not completed at time period 119? 

Write a brief explanation without listing reasons. 

OUTPUT:
