PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 1          | 5               | 5        | 1            | 3             | 9              | 
| 3        | 1          | 7               | 7        | 1            | 1             | 4              | 
| 4        | 1          | 4               | 4        | 1            | 2             | 3              | 
| 5        | 11         | 15              | 5        | 3            | 3             | 1              | 
| 6        | 6          | 9               | 4        | 2            | 4             | 5              | 
| 7        | 16         | 19              | 4        | 5            | 4             | 4              | 
| 8        | 8          | 11              | 4        | 3            | 4             | 6              | 
| 9        | 12         | 20              | 9        | 8            | 4             | 3              | 
| 10       | 20         | 29              | 10       | 7            | 3             | 2              | 
| 11       | 21         | 24              | 4        | 3            | 1             | 6              | 
| 12       | 5          | 9               | 5        | 4            | 2             | 1              | 
| 13       | 21         | 22              | 2        | 2            | 1             | 8              | 
| 14       | 49         | 49              | 1        | 13           | 3             | 7              | 
| 15       | 11         | 20              | 10       | 2            | 1             | 8              | 
| 16       | 30         | 35              | 6        | 10, 13       | 3             | 2              | 
| 17       | 41         | 41              | 1        | 11           | 2             | 6              | 
| 18       | 42         | 49              | 8        | 4, 17        | 3             | 1              | 
| 19       | 38         | 38              | 1        | 13           | 2             | 8              | 
| 20       | 21         | 29              | 9        | 9, 15        | 2             | 8              | 
| 21       | 30         | 35              | 6        | 20           | 2             | 8              | 
| 22       | 49         | 49              | 1        | 12, 19       | 2             | 5              | 
| 23       | 39         | 39              | 1        | 15           | 4             | 9              | 
| 24       | 23         | 30              | 8        | 4            | 3             | 7              | 
| 25       | 31         | 38              | 8        | 15, 24       | 4             | 5              | 
| 26       | 36         | 38              | 3        | 16, 21       | 4             | 4              | 
| 27       | 42         | 44              | 3        | 5, 23        | 3             | 10             | 
| 28       | 39         | 44              | 6        | 19, 25, 26   | 1             | 3              | 
| 29       | 45         | 54              | 10       | 17, 27, 28   | 1             | 10             | 
| 30       | 50         | 54              | 5        | 6, 14, 18    | 3             | 7              | 
| 31       | 50         | 54              | 5        | 11, 22, 28   | 4             | 3              | 
| 32       | 54         | 54              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is activity 24 completed at time period 30 instead of activity 10? 

Write a brief explanation without listing reasons. 

OUTPUT:
