PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 6          | 15              | 10       | 1            | 1             | 5              | 
| 3        | 2          | 5               | 4        | 1            | 1             | 10             | 
| 4        | 1          | 1               | 1        | 1            | 1             | 5              | 
| 5        | 6          | 8               | 3        | 3            | 3             | 10             | 
| 6        | 2          | 6               | 5        | 4            | 1             | 3              | 
| 7        | 9          | 18              | 10       | 5            | 3             | 5              | 
| 8        | 6          | 6               | 1        | 3            | 2             | 4              | 
| 9        | 19         | 22              | 4        | 7            | 1             | 5              | 
| 10       | 16         | 21              | 6        | 5            | 1             | 1              | 
| 11       | 11         | 18              | 8        | 8            | 1             | 2              | 
| 12       | 23         | 29              | 7        | 2            | 2             | 10             | 
| 13       | 23         | 29              | 7        | 10           | 1             | 10             | 
| 14       | 30         | 33              | 4        | 13           | 2             | 6              | 
| 15       | 30         | 32              | 3        | 11           | 1             | 9              | 
| 16       | 11         | 20              | 10       | 6            | 1             | 3              | 
| 17       | 35         | 37              | 3        | 3            | 1             | 10             | 
| 18       | 38         | 41              | 4        | 17           | 2             | 1              | 
| 19       | 7          | 9               | 3        | 4            | 1             | 6              | 
| 20       | 41         | 47              | 7        | 14, 19       | 2             | 6              | 
| 21       | 21         | 25              | 5        | 16, 19       | 3             | 5              | 
| 22       | 22         | 22              | 1        | 6, 10        | 1             | 2              | 
| 23       | 30         | 39              | 10       | 2, 21        | 4             | 1              | 
| 24       | 33         | 40              | 8        | 4, 9, 15     | 1             | 1              | 
| 25       | 41         | 41              | 1        | 11, 22       | 1             | 1              | 
| 26       | 42         | 47              | 6        | 5, 12        | 2             | 3              | 
| 27       | 43         | 46              | 4        | 18, 23, 24   | 3             | 4              | 
| 28       | 34         | 40              | 7        | 6, 14        | 2             | 9              | 
| 29       | 48         | 53              | 6        | 20, 26, 27   | 2             | 7              | 
| 30       | 26         | 34              | 9        | 19, 22       | 3             | 4              | 
| 31       | 42         | 45              | 4        | 25, 28       | 1             | 9              | 
| 32       | 53         | 53              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is activity 28 not completed at time period 76? 

Write a brief explanation without listing reasons. 

OUTPUT:
