PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 1          | 6               | 6        | 1            | 3             | 2              | 
| 3        | 1          | 9               | 9        | 1            | 1             | 9              | 
| 4        | 1          | 5               | 5        | 1            | 3             | 2              | 
| 5        | 6          | 12              | 7        | 4            | 4             | 6              | 
| 6        | 7          | 11              | 5        | 2            | 2             | 3              | 
| 7        | 13         | 21              | 9        | 5            | 2             | 6              | 
| 8        | 13         | 21              | 9        | 6            | 4             | 9              | 
| 9        | 12         | 20              | 9        | 6            | 4             | 6              | 
| 10       | 25         | 25              | 1        | 4            | 1             | 4              | 
| 11       | 22         | 22              | 1        | 8            | 4             | 6              | 
| 12       | 7          | 12              | 6        | 2            | 2             | 3              | 
| 13       | 21         | 25              | 5        | 9            | 2             | 9              | 
| 14       | 12         | 14              | 3        | 6            | 2             | 8              | 
| 15       | 22         | 24              | 3        | 7            | 4             | 2              | 
| 16       | 26         | 27              | 2        | 11, 13       | 2             | 7              | 
| 17       | 15         | 19              | 5        | 12, 14       | 3             | 5              | 
| 18       | 22         | 25              | 4        | 2, 7         | 4             | 8              | 
| 19       | 13         | 20              | 8        | 5            | 4             | 1              | 
| 20       | 21         | 28              | 8        | 19           | 3             | 10             | 
| 21       | 15         | 16              | 2        | 5            | 2             | 3              | 
| 22       | 22         | 23              | 2        | 8            | 3             | 4              | 
| 23       | 26         | 28              | 3        | 3, 10, 18    | 3             | 3              | 
| 24       | 30         | 35              | 6        | 17, 20       | 4             | 4              | 
| 25       | 29         | 37              | 9        | 16           | 3             | 9              | 
| 26       | 27         | 30              | 4        | 3, 21        | 4             | 4              | 
| 27       | 29         | 30              | 2        | 12, 23       | 2             | 2              | 
| 28       | 30         | 31              | 2        | 14, 15, 23   | 1             | 2              | 
| 29       | 37         | 39              | 3        | 16, 26, 27   | 1             | 2              | 
| 30       | 24         | 25              | 2        | 4, 22        | 4             | 6              | 
| 31       | 38         | 40              | 3        | 24, 25, 28   | 3             | 9              | 
| 32       | 40         | 40              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is activity 25 not completed before time period 37? 

Write a brief explanation without listing reasons. 

OUTPUT:
