PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 1          | 7               | 7        | 1            | 1             | 3              | 
| 3        | 1          | 1               | 1        | 1            | 3             | 7              | 
| 4        | 1          | 7               | 7        | 1            | 3             | 4              | 
| 5        | 2          | 8               | 7        | 3            | 3             | 2              | 
| 6        | 3          | 6               | 4        | 3            | 1             | 9              | 
| 7        | 7          | 16              | 10       | 3            | 1             | 5              | 
| 8        | 9          | 15              | 7        | 2, 5         | 3             | 8              | 
| 9        | 8          | 16              | 9        | 4            | 1             | 10             | 
| 10       | 17         | 24              | 8        | 7            | 1             | 6              | 
| 11       | 7          | 15              | 9        | 6            | 1             | 7              | 
| 12       | 25         | 25              | 1        | 10           | 2             | 10             | 
| 13       | 18         | 20              | 3        | 7            | 1             | 10             | 
| 14       | 26         | 28              | 3        | 12           | 2             | 10             | 
| 15       | 16         | 25              | 10       | 11           | 1             | 4              | 
| 16       | 16         | 21              | 6        | 8            | 3             | 7              | 
| 17       | 29         | 35              | 7        | 8, 10        | 1             | 8              | 
| 18       | 25         | 32              | 8        | 10           | 1             | 9              | 
| 19       | 22         | 28              | 7        | 16           | 1             | 6              | 
| 20       | 18         | 26              | 9        | 11           | 3             | 7              | 
| 21       | 10         | 18              | 9        | 6            | 2             | 2              | 
| 22       | 25         | 34              | 10       | 4, 11, 21    | 4             | 10             | 
| 23       | 33         | 34              | 2        | 14           | 1             | 7              | 
| 24       | 34         | 34              | 1        | 18, 19       | 3             | 8              | 
| 25       | 28         | 31              | 4        | 6            | 1             | 5              | 
| 26       | 35         | 35              | 1        | 13, 15, 23   | 1             | 9              | 
| 27       | 36         | 38              | 3        | 18, 20       | 1             | 6              | 
| 28       | 33         | 33              | 1        | 18, 25       | 1             | 3              | 
| 29       | 37         | 40              | 4        | 9, 22, 28    | 1             | 7              | 
| 30       | 36         | 42              | 7        | 17, 24, 26   | 1             | 7              | 
| 31       | 39         | 42              | 4        | 14, 21, 27   | 2             | 4              | 
| 32       | 42         | 42              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is activity 24 not completed at time period 30? 

Write a brief explanation without listing reasons. 

OUTPUT:
