PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 1          | 10              | 10       | 1            | 4             | 4              | 
| 3        | 13         | 13              | 1        | 1            | 4             | 10             | 
| 4        | 1          | 9               | 9        | 1            | 1             | 4              | 
| 5        | 11         | 13              | 3        | 2            | 1             | 6              | 
| 6        | 10         | 10              | 1        | 4            | 1             | 3              | 
| 7        | 16         | 22              | 7        | 2            | 2             | 4              | 
| 8        | 12         | 12              | 1        | 2            | 4             | 2              | 
| 9        | 23         | 26              | 4        | 7            | 1             | 10             | 
| 10       | 11         | 20              | 10       | 6            | 4             | 2              | 
| 11       | 17         | 22              | 6        | 3            | 3             | 10             | 
| 12       | 11         | 12              | 2        | 6            | 4             | 6              | 
| 13       | 13         | 15              | 3        | 8, 12        | 2             | 7              | 
| 14       | 28         | 28              | 1        | 7, 11        | 3             | 3              | 
| 15       | 14         | 16              | 3        | 5            | 4             | 6              | 
| 16       | 23         | 23              | 1        | 4, 11, 15    | 3             | 10             | 
| 17       | 17         | 19              | 3        | 13           | 4             | 7              | 
| 18       | 29         | 38              | 10       | 14, 17       | 4             | 9              | 
| 19       | 24         | 24              | 1        | 16           | 2             | 6              | 
| 20       | 39         | 41              | 3        | 18           | 1             | 5              | 
| 21       | 13         | 16              | 4        | 12           | 2             | 3              | 
| 22       | 21         | 22              | 2        | 10           | 1             | 8              | 
| 23       | 14         | 17              | 4        | 5            | 1             | 1              | 
| 24       | 27         | 28              | 2        | 9, 11, 13    | 1             | 3              | 
| 25       | 25         | 28              | 4        | 7            | 2             | 9              | 
| 26       | 42         | 47              | 6        | 20, 24       | 4             | 7              | 
| 27       | 20         | 28              | 9        | 23           | 4             | 7              | 
| 28       | 27         | 28              | 2        | 19, 21, 22   | 4             | 5              | 
| 29       | 48         | 48              | 1        | 15, 26       | 3             | 9              | 
| 30       | 29         | 29              | 1        | 13, 25, 27   | 3             | 9              | 
| 31       | 39         | 47              | 9        | 18, 24, 28   | 3             | 4              | 
| 32       | 48         | 48              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is the subset of activities 26, 31 completed at the same time period? 

Write a brief explanation without listing reasons. 

OUTPUT:
