PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 1          | 1               | 1        | 1            | 2             | 8              | 
| 3        | 1          | 5               | 5        | 1            | 1             | 7              | 
| 4        | 5          | 8               | 4        | 1            | 1             | 3              | 
| 5        | 2          | 4               | 3        | 2            | 2             | 1              | 
| 6        | 9          | 12              | 4        | 3            | 1             | 7              | 
| 7        | 15         | 21              | 7        | 4            | 1             | 5              | 
| 8        | 9          | 12              | 4        | 3            | 2             | 4              | 
| 9        | 5          | 12              | 8        | 5            | 1             | 5              | 
| 10       | 20         | 27              | 8        | 2            | 1             | 10             | 
| 11       | 15         | 22              | 8        | 3            | 2             | 6              | 
| 12       | 23         | 24              | 2        | 5, 8, 11     | 2             | 4              | 
| 13       | 2          | 2               | 1        | 2            | 1             | 1              | 
| 14       | 13         | 15              | 3        | 9            | 1             | 5              | 
| 15       | 16         | 22              | 7        | 13, 14       | 4             | 7              | 
| 16       | 13         | 19              | 7        | 6            | 2             | 7              | 
| 17       | 3          | 8               | 6        | 13           | 1             | 4              | 
| 18       | 25         | 32              | 8        | 7, 15, 16    | 1             | 10             | 
| 19       | 20         | 22              | 3        | 16           | 1             | 4              | 
| 20       | 22         | 30              | 9        | 13           | 2             | 1              | 
| 21       | 9          | 12              | 4        | 5            | 1             | 1              | 
| 22       | 9          | 15              | 7        | 17           | 1             | 6              | 
| 23       | 16         | 16              | 1        | 9, 22        | 3             | 3              | 
| 24       | 28         | 28              | 1        | 4, 10        | 1             | 3              | 
| 25       | 17         | 19              | 3        | 21, 23       | 2             | 8              | 
| 26       | 23         | 28              | 6        | 19, 25       | 2             | 2              | 
| 27       | 28         | 29              | 2        | 10           | 3             | 8              | 
| 28       | 29         | 34              | 6        | 26           | 1             | 9              | 
| 29       | 30         | 33              | 4        | 7, 24, 27    | 3             | 10             | 
| 30       | 35         | 37              | 3        | 10, 20, 28   | 2             | 8              | 
| 31       | 33         | 37              | 5        | 12, 18, 25   | 1             | 3              | 
| 32       | 37         | 37              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is activity 32 not completed at time period 45? 

Write a brief explanation without listing reasons. 

OUTPUT:
