PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 1          | 10              | 10       | 1            | 2             | 5              | 
| 3        | 1          | 7               | 7        | 1            | 1             | 7              | 
| 4        | 1          | 7               | 7        | 1            | 1             | 8              | 
| 5        | 8          | 12              | 5        | 4            | 1             | 2              | 
| 6        | 8          | 14              | 7        | 3            | 1             | 10             | 
| 7        | 20         | 27              | 8        | 4            | 1             | 9              | 
| 8        | 8          | 10              | 3        | 3            | 1             | 3              | 
| 9        | 14         | 14              | 1        | 8            | 1             | 1              | 
| 10       | 11         | 20              | 10       | 8            | 1             | 2              | 
| 11       | 21         | 29              | 9        | 10           | 3             | 7              | 
| 12       | 15         | 23              | 9        | 9            | 1             | 8              | 
| 13       | 11         | 13              | 3        | 8            | 1             | 9              | 
| 14       | 41         | 44              | 4        | 9            | 1             | 8              | 
| 15       | 15         | 23              | 9        | 2, 6         | 1             | 1              | 
| 16       | 30         | 34              | 5        | 11, 13       | 1             | 4              | 
| 17       | 24         | 31              | 8        | 5            | 1             | 5              | 
| 18       | 25         | 27              | 3        | 15           | 2             | 7              | 
| 19       | 24         | 33              | 10       | 15           | 1             | 7              | 
| 20       | 16         | 24              | 9        | 13           | 1             | 2              | 
| 21       | 36         | 38              | 3        | 15, 16       | 1             | 8              | 
| 22       | 21         | 25              | 5        | 13           | 2             | 2              | 
| 23       | 36         | 45              | 10       | 10, 18       | 1             | 10             | 
| 24       | 30         | 36              | 7        | 4, 20        | 2             | 8              | 
| 25       | 34         | 35              | 2        | 19           | 1             | 1              | 
| 26       | 28         | 35              | 8        | 2, 22        | 1             | 9              | 
| 27       | 46         | 47              | 2        | 12, 14, 23   | 2             | 4              | 
| 28       | 37         | 43              | 7        | 18, 24, 26   | 1             | 7              | 
| 29       | 44         | 49              | 6        | 7, 28        | 1             | 3              | 
| 30       | 39         | 48              | 10       | 21, 22, 25   | 1             | 2              | 
| 31       | 48         | 48              | 1        | 17, 24, 27   | 1             | 3              | 
| 32       | 49         | 49              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is the subset of activities 29, 32 completed at the same time period? 

Write a brief explanation without listing reasons. 

OUTPUT:
