PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 1          | 7               | 7        | 1            | 1             | 9              | 
| 3        | 1          | 4               | 4        | 1            | 3             | 3              | 
| 4        | 1          | 4               | 4        | 1            | 1             | 2              | 
| 5        | 8          | 12              | 5        | 2            | 1             | 10             | 
| 6        | 5          | 6               | 2        | 3            | 4             | 10             | 
| 7        | 13         | 13              | 1        | 5            | 1             | 8              | 
| 8        | 5          | 11              | 7        | 3            | 2             | 10             | 
| 9        | 5          | 7               | 3        | 4            | 1             | 3              | 
| 10       | 8          | 14              | 7        | 9            | 1             | 7              | 
| 11       | 5          | 10              | 6        | 4            | 1             | 5              | 
| 12       | 11         | 18              | 8        | 11           | 3             | 1              | 
| 13       | 19         | 21              | 3        | 12           | 1             | 10             | 
| 14       | 14         | 14              | 1        | 7            | 1             | 7              | 
| 15       | 7          | 14              | 8        | 6            | 1             | 4              | 
| 16       | 22         | 26              | 5        | 13           | 1             | 1              | 
| 17       | 15         | 17              | 3        | 3, 10, 11    | 3             | 3              | 
| 18       | 5          | 12              | 8        | 4            | 1             | 10             | 
| 19       | 19         | 20              | 2        | 12           | 1             | 8              | 
| 20       | 13         | 17              | 5        | 5, 18        | 1             | 10             | 
| 21       | 13         | 19              | 7        | 5            | 3             | 7              | 
| 22       | 12         | 19              | 8        | 8            | 2             | 9              | 
| 23       | 15         | 22              | 8        | 14           | 1             | 9              | 
| 24       | 19         | 23              | 5        | 12           | 2             | 5              | 
| 25       | 23         | 29              | 7        | 18, 19, 23   | 1             | 10             | 
| 26       | 24         | 29              | 6        | 6, 20, 24    | 3             | 7              | 
| 27       | 21         | 24              | 4        | 15, 21       | 1             | 6              | 
| 28       | 30         | 31              | 2        | 17, 22, 26   | 2             | 1              | 
| 29       | 27         | 33              | 7        | 14, 16, 27   | 4             | 3              | 
| 30       | 20         | 23              | 4        | 15, 20       | 3             | 1              | 
| 31       | 32         | 41              | 10       | 21, 25, 28   | 1             | 3              | 
| 32       | 41         | 41              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is activity 29 not completed at time period 80? 

Write a brief explanation without listing reasons. 

OUTPUT:
