PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 11         | 18              | 8        | 1            | 4             | 1              | 
| 3        | 1          | 7               | 7        | 1            | 3             | 3              | 
| 4        | 1          | 3               | 3        | 1            | 2             | 3              | 
| 5        | 4          | 13              | 10       | 4            | 1             | 7              | 
| 6        | 14         | 18              | 5        | 5            | 2             | 8              | 
| 7        | 8          | 8               | 1        | 3            | 4             | 3              | 
| 8        | 14         | 18              | 5        | 5            | 4             | 3              | 
| 9        | 19         | 28              | 10       | 6            | 4             | 10             | 
| 10       | 29         | 36              | 8        | 9            | 4             | 10             | 
| 11       | 37         | 45              | 9        | 7, 10        | 3             | 8              | 
| 12       | 46         | 52              | 7        | 11           | 1             | 2              | 
| 13       | 37         | 41              | 5        | 3, 10        | 2             | 8              | 
| 14       | 47         | 55              | 9        | 9            | 4             | 2              | 
| 15       | 29         | 37              | 9        | 9            | 1             | 7              | 
| 16       | 53         | 61              | 9        | 12           | 1             | 10             | 
| 17       | 46         | 52              | 7        | 11           | 2             | 10             | 
| 18       | 8          | 13              | 6        | 3            | 4             | 2              | 
| 19       | 53         | 53              | 1        | 17           | 3             | 4              | 
| 20       | 46         | 51              | 6        | 11, 13, 18   | 1             | 9              | 
| 21       | 19         | 28              | 10       | 7            | 2             | 5              | 
| 22       | 62         | 71              | 10       | 8, 14, 16    | 3             | 3              | 
| 23       | 42         | 49              | 8        | 13           | 4             | 8              | 
| 24       | 19         | 19              | 1        | 6            | 2             | 1              | 
| 25       | 37         | 43              | 7        | 2, 10        | 2             | 3              | 
| 26       | 72         | 78              | 7        | 22, 23, 24   | 4             | 10             | 
| 27       | 79         | 81              | 3        | 20, 26       | 4             | 6              | 
| 28       | 82         | 89              | 8        | 27           | 3             | 7              | 
| 29       | 52         | 52              | 1        | 15, 20, 23   | 3             | 5              | 
| 30       | 76         | 77              | 2        | 19, 20, 25   | 3             | 3              | 
| 31       | 90         | 98              | 9        | 21, 28       | 3             | 3              | 
| 32       | 98         | 98              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is activity 11 completed at time period 45 instead of activity 25? 

Write a brief explanation without listing reasons. 

OUTPUT:
