PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 1          | 6               | 6        | 1            | 1             | 5              | 
| 3        | 1          | 5               | 5        | 1            | 1             | 5              | 
| 4        | 1          | 3               | 3        | 1            | 1             | 8              | 
| 5        | 7          | 9               | 3        | 2            | 1             | 3              | 
| 6        | 10         | 17              | 8        | 5            | 1             | 7              | 
| 7        | 18         | 23              | 6        | 6            | 1             | 1              | 
| 8        | 7          | 14              | 8        | 2            | 2             | 7              | 
| 9        | 6          | 13              | 8        | 3, 4         | 3             | 9              | 
| 10       | 14         | 19              | 6        | 9            | 2             | 8              | 
| 11       | 6          | 15              | 10       | 3            | 1             | 9              | 
| 12       | 16         | 23              | 8        | 4, 11        | 3             | 2              | 
| 13       | 14         | 21              | 8        | 9            | 1             | 5              | 
| 14       | 15         | 20              | 6        | 8            | 4             | 5              | 
| 15       | 15         | 19              | 5        | 8            | 1             | 10             | 
| 16       | 22         | 23              | 2        | 13           | 1             | 8              | 
| 17       | 22         | 30              | 9        | 13           | 4             | 9              | 
| 18       | 24         | 30              | 7        | 14, 15, 16   | 1             | 5              | 
| 19       | 20         | 24              | 5        | 10           | 2             | 4              | 
| 20       | 6          | 9               | 4        | 3            | 1             | 2              | 
| 21       | 24         | 26              | 3        | 11, 16       | 2             | 6              | 
| 22       | 20         | 29              | 10       | 6, 15        | 2             | 5              | 
| 23       | 14         | 21              | 8        | 9            | 4             | 9              | 
| 24       | 31         | 36              | 6        | 14, 17, 19   | 2             | 7              | 
| 25       | 15         | 15              | 1        | 8            | 1             | 9              | 
| 26       | 37         | 44              | 8        | 24, 25       | 1             | 7              | 
| 27       | 45         | 50              | 6        | 20, 26       | 1             | 5              | 
| 28       | 31         | 35              | 5        | 18, 22       | 3             | 10             | 
| 29       | 24         | 31              | 8        | 7, 12, 23    | 2             | 9              | 
| 30       | 51         | 51              | 1        | 21, 27       | 1             | 10             | 
| 31       | 36         | 44              | 9        | 17, 28       | 2             | 8              | 
| 32       | 51         | 51              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is activity 12 completed at time period 23 instead of activity 13? 

Write a brief explanation without listing reasons. 

OUTPUT:
