PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 5          | 12              | 8        | 1            | 1             | 4              | 
| 3        | 1          | 4               | 4        | 1            | 1             | 10             | 
| 4        | 1          | 6               | 6        | 1            | 4             | 3              | 
| 5        | 17         | 19              | 3        | 4            | 1             | 3              | 
| 6        | 33         | 40              | 8        | 2            | 4             | 8              | 
| 7        | 11         | 15              | 5        | 3            | 1             | 4              | 
| 8        | 5          | 13              | 9        | 3            | 2             | 1              | 
| 9        | 14         | 15              | 2        | 4            | 1             | 6              | 
| 10       | 7          | 13              | 7        | 4            | 4             | 1              | 
| 11       | 18         | 26              | 9        | 2            | 2             | 5              | 
| 12       | 14         | 15              | 2        | 8            | 2             | 7              | 
| 13       | 5          | 10              | 6        | 3            | 1             | 4              | 
| 14       | 16         | 18              | 3        | 9, 12        | 2             | 8              | 
| 15       | 17         | 25              | 9        | 2            | 1             | 3              | 
| 16       | 14         | 23              | 10       | 10           | 4             | 5              | 
| 17       | 24         | 29              | 6        | 13, 14       | 4             | 8              | 
| 18       | 11         | 15              | 5        | 13           | 4             | 7              | 
| 19       | 14         | 16              | 3        | 8            | 2             | 1              | 
| 20       | 28         | 34              | 7        | 5, 11, 18    | 2             | 10             | 
| 21       | 31         | 32              | 2        | 16           | 4             | 6              | 
| 22       | 30         | 36              | 7        | 16, 17, 18   | 1             | 2              | 
| 23       | 37         | 38              | 2        | 20, 22       | 1             | 3              | 
| 24       | 39         | 41              | 3        | 19, 23       | 2             | 9              | 
| 25       | 38         | 40              | 3        | 10, 15, 20   | 1             | 4              | 
| 26       | 27         | 33              | 7        | 11           | 3             | 4              | 
| 27       | 16         | 23              | 8        | 7, 8         | 4             | 7              | 
| 28       | 36         | 38              | 3        | 21, 27       | 2             | 8              | 
| 29       | 20         | 26              | 7        | 19           | 2             | 7              | 
| 30       | 42         | 43              | 2        | 6, 24, 25    | 2             | 7              | 
| 31       | 41         | 42              | 2        | 26, 28       | 3             | 2              | 
| 32       | 43         | 43              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is activity 28 not completed at time period 76? 

Write a brief explanation without listing reasons. 

OUTPUT:
