PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 1          | 9               | 9        | 1            | 1             | 5              | 
| 3        | 1          | 4               | 4        | 1            | 2             | 5              | 
| 4        | 1          | 5               | 5        | 1            | 1             | 4              | 
| 5        | 10         | 16              | 7        | 2            | 1             | 3              | 
| 6        | 17         | 17              | 1        | 4, 5         | 1             | 6              | 
| 7        | 6          | 8               | 3        | 4            | 4             | 3              | 
| 8        | 6          | 14              | 9        | 4            | 4             | 9              | 
| 9        | 10         | 17              | 8        | 2            | 1             | 7              | 
| 10       | 5          | 14              | 10       | 3            | 2             | 1              | 
| 11       | 18         | 23              | 6        | 9            | 2             | 4              | 
| 12       | 15         | 19              | 5        | 10           | 2             | 1              | 
| 13       | 5          | 14              | 10       | 3            | 3             | 9              | 
| 14       | 18         | 20              | 3        | 3, 9         | 1             | 8              | 
| 15       | 24         | 29              | 6        | 11           | 2             | 5              | 
| 16       | 15         | 23              | 9        | 10           | 3             | 2              | 
| 17       | 18         | 20              | 3        | 9            | 4             | 5              | 
| 18       | 15         | 18              | 4        | 10           | 2             | 9              | 
| 19       | 10         | 19              | 10       | 2            | 2             | 2              | 
| 20       | 21         | 27              | 7        | 14           | 3             | 9              | 
| 21       | 20         | 29              | 10       | 19           | 1             | 4              | 
| 22       | 30         | 35              | 6        | 15           | 1             | 10             | 
| 23       | 36         | 42              | 7        | 13, 22       | 1             | 4              | 
| 24       | 15         | 22              | 8        | 13           | 2             | 7              | 
| 25       | 28         | 28              | 1        | 20, 24       | 2             | 6              | 
| 26       | 30         | 36              | 7        | 6, 8, 21     | 1             | 6              | 
| 27       | 43         | 45              | 3        | 16, 23, 25   | 1             | 9              | 
| 28       | 21         | 27              | 7        | 7, 14, 17    | 4             | 3              | 
| 29       | 46         | 53              | 8        | 12, 27, 28   | 2             | 5              | 
| 30       | 37         | 39              | 3        | 14, 18, 26   | 1             | 4              | 
| 31       | 24         | 26              | 3        | 11, 17       | 1             | 2              | 
| 32       | 53         | 53              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is activity 22 not completed at time period 134? 

Write a brief explanation without listing reasons. 

OUTPUT:
