PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 1          | 1               | 1        | 1            | 1             | 1              | 
| 3        | 1          | 10              | 10       | 1            | 2             | 9              | 
| 4        | 1          | 4               | 4        | 1            | 3             | 9              | 
| 5        | 7          | 10              | 4        | 2            | 4             | 7              | 
| 6        | 14         | 16              | 3        | 3            | 1             | 9              | 
| 7        | 13         | 16              | 4        | 3            | 2             | 8              | 
| 8        | 27         | 35              | 9        | 5            | 1             | 1              | 
| 9        | 2          | 11              | 10       | 2            | 1             | 3              | 
| 10       | 17         | 18              | 2        | 5            | 1             | 3              | 
| 11       | 32         | 38              | 7        | 5            | 2             | 3              | 
| 12       | 12         | 12              | 1        | 3            | 1             | 8              | 
| 13       | 36         | 36              | 1        | 8            | 3             | 3              | 
| 14       | 5          | 6               | 2        | 4            | 1             | 9              | 
| 15       | 11         | 16              | 6        | 14           | 2             | 3              | 
| 16       | 17         | 26              | 10       | 15           | 1             | 10             | 
| 17       | 39         | 47              | 9        | 9, 11        | 3             | 8              | 
| 18       | 28         | 34              | 7        | 6, 16        | 1             | 2              | 
| 19       | 27         | 31              | 5        | 9            | 3             | 3              | 
| 20       | 25         | 25              | 1        | 15           | 3             | 10             | 
| 21       | 26         | 27              | 2        | 7, 20        | 1             | 3              | 
| 22       | 13         | 18              | 6        | 9            | 3             | 6              | 
| 23       | 13         | 15              | 3        | 12           | 1             | 4              | 
| 24       | 28         | 29              | 2        | 10, 21, 22   | 1             | 8              | 
| 25       | 19         | 24              | 6        | 6, 23        | 3             | 7              | 
| 26       | 36         | 43              | 8        | 8, 24        | 1             | 1              | 
| 27       | 44         | 46              | 3        | 13, 16, 22   | 1             | 1              | 
| 28       | 45         | 47              | 3        | 16, 26       | 2             | 2              | 
| 29       | 39         | 47              | 9        | 8, 18, 19    | 1             | 9              | 
| 30       | 30         | 37              | 8        | 22, 25       | 1             | 9              | 
| 31       | 48         | 49              | 2        | 17, 27, 28   | 4             | 7              | 
| 32       | 49         | 49              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is activity 30 not completed at time period 83? 

Write a brief explanation without listing reasons. 

OUTPUT:
