PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 1          | 2               | 2        | 1            | 1             | 1              | 
| 3        | 1          | 5               | 5        | 1            | 2             | 5              | 
| 4        | 1          | 6               | 6        | 1            | 1             | 8              | 
| 5        | 7          | 10              | 4        | 4            | 1             | 8              | 
| 6        | 7          | 8               | 2        | 4            | 1             | 3              | 
| 7        | 7          | 15              | 9        | 4            | 1             | 5              | 
| 8        | 11         | 19              | 9        | 5            | 1             | 4              | 
| 9        | 12         | 15              | 4        | 3            | 1             | 8              | 
| 10       | 21         | 28              | 8        | 2, 9         | 4             | 5              | 
| 11       | 3          | 9               | 7        | 2            | 1             | 1              | 
| 12       | 21         | 30              | 10       | 8            | 1             | 2              | 
| 13       | 20         | 20              | 1        | 8            | 1             | 10             | 
| 14       | 18         | 18              | 1        | 7            | 1             | 1              | 
| 15       | 6          | 6               | 1        | 3            | 1             | 4              | 
| 16       | 9          | 13              | 5        | 3            | 2             | 9              | 
| 17       | 14         | 15              | 2        | 16           | 1             | 4              | 
| 18       | 16         | 20              | 5        | 6, 7, 17     | 2             | 10             | 
| 19       | 35         | 39              | 5        | 8            | 1             | 2              | 
| 20       | 22         | 30              | 9        | 13           | 2             | 5              | 
| 21       | 22         | 31              | 10       | 15, 18       | 2             | 8              | 
| 22       | 29         | 29              | 1        | 10           | 1             | 9              | 
| 23       | 31         | 35              | 5        | 20, 22       | 1             | 4              | 
| 24       | 16         | 19              | 4        | 15           | 1             | 5              | 
| 25       | 21         | 30              | 10       | 11, 24       | 1             | 9              | 
| 26       | 36         | 40              | 5        | 21, 23, 25   | 1             | 1              | 
| 27       | 31         | 39              | 9        | 6, 16, 25    | 1             | 7              | 
| 28       | 17         | 26              | 10       | 2            | 1             | 7              | 
| 29       | 41         | 42              | 2        | 19, 26       | 1             | 1              | 
| 30       | 31         | 40              | 10       | 12, 16, 25   | 1             | 4              | 
| 31       | 40         | 42              | 3        | 14, 27, 28   | 2             | 4              | 
| 32       | 42         | 42              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is activity 25 not completed at time period 70? 

Write a brief explanation without listing reasons. 

OUTPUT:
