PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 1          | 6               | 6        | 1            | 1             | 9              | 
| 3        | 1          | 4               | 4        | 1            | 2             | 4              | 
| 4        | 1          | 1               | 1        | 1            | 1             | 9              | 
| 5        | 7          | 14              | 8        | 2            | 1             | 8              | 
| 6        | 5          | 11              | 7        | 3            | 1             | 3              | 
| 7        | 2          | 5               | 4        | 4            | 1             | 9              | 
| 8        | 5          | 10              | 6        | 3            | 1             | 3              | 
| 9        | 15         | 22              | 8        | 5            | 2             | 7              | 
| 10       | 12         | 19              | 8        | 6, 8         | 3             | 4              | 
| 11       | 12         | 15              | 4        | 6            | 4             | 7              | 
| 12       | 2          | 9               | 8        | 4            | 4             | 1              | 
| 13       | 6          | 10              | 5        | 7            | 2             | 2              | 
| 14       | 7          | 8               | 2        | 2            | 1             | 3              | 
| 15       | 7          | 14              | 8        | 2            | 1             | 4              | 
| 16       | 15         | 20              | 6        | 15           | 1             | 2              | 
| 17       | 11         | 18              | 8        | 8            | 3             | 7              | 
| 18       | 15         | 20              | 6        | 15           | 1             | 1              | 
| 19       | 21         | 23              | 3        | 5, 16        | 1             | 6              | 
| 20       | 16         | 17              | 2        | 11, 14, 15   | 1             | 10             | 
| 21       | 21         | 23              | 3        | 18           | 2             | 6              | 
| 22       | 11         | 18              | 8        | 13           | 1             | 1              | 
| 23       | 24         | 27              | 4        | 17, 19, 22   | 3             | 2              | 
| 24       | 2          | 10              | 9        | 4            | 1             | 1              | 
| 25       | 15         | 21              | 7        | 5            | 1             | 2              | 
| 26       | 16         | 19              | 4        | 11           | 1             | 8              | 
| 27       | 24         | 30              | 7        | 9, 10, 19    | 2             | 9              | 
| 28       | 31         | 31              | 1        | 7, 20, 27    | 2             | 7              | 
| 29       | 24         | 27              | 4        | 21, 24       | 1             | 2              | 
| 30       | 22         | 28              | 7        | 6, 12, 25    | 4             | 3              | 
| 31       | 32         | 39              | 8        | 23, 26, 28   | 4             | 4              | 
| 32       | 39         | 39              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is activity 24 not completed at time period 85? 

Write a brief explanation without listing reasons. 

OUTPUT:
