PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 1          | 9               | 9        | 1            | 1             | 9              | 
| 3        | 1          | 7               | 7        | 1            | 1             | 2              | 
| 4        | 1          | 5               | 5        | 1            | 1             | 6              | 
| 5        | 6          | 11              | 6        | 4            | 1             | 1              | 
| 6        | 25         | 28              | 4        | 2            | 1             | 3              | 
| 7        | 12         | 14              | 3        | 5            | 2             | 10             | 
| 8        | 28         | 32              | 5        | 5            | 1             | 6              | 
| 9        | 8          | 16              | 9        | 3            | 2             | 9              | 
| 10       | 19         | 24              | 6        | 9            | 1             | 8              | 
| 11       | 8          | 17              | 10       | 3            | 3             | 7              | 
| 12       | 15         | 21              | 7        | 4            | 2             | 6              | 
| 13       | 15         | 23              | 9        | 7            | 2             | 6              | 
| 14       | 19         | 27              | 9        | 3            | 3             | 5              | 
| 15       | 18         | 18              | 1        | 4            | 1             | 6              | 
| 16       | 29         | 32              | 4        | 15           | 1             | 2              | 
| 17       | 36         | 37              | 2        | 10, 11       | 1             | 7              | 
| 18       | 16         | 21              | 6        | 5            | 1             | 6              | 
| 19       | 29         | 30              | 2        | 6, 14        | 1             | 5              | 
| 20       | 41         | 41              | 1        | 17, 19       | 1             | 10             | 
| 21       | 22         | 26              | 5        | 12, 18       | 2             | 4              | 
| 22       | 31         | 32              | 2        | 10, 19       | 2             | 3              | 
| 23       | 24         | 27              | 4        | 13           | 1             | 8              | 
| 24       | 33         | 41              | 9        | 8, 16, 22    | 2             | 9              | 
| 25       | 28         | 31              | 4        | 14           | 3             | 1              | 
| 26       | 27         | 31              | 5        | 21           | 1             | 2              | 
| 27       | 28         | 31              | 4        | 2, 23        | 1             | 1              | 
| 28       | 32         | 37              | 6        | 25, 26, 27   | 1             | 2              | 
| 29       | 38         | 44              | 7        | 17, 22, 28   | 4             | 9              | 
| 30       | 34         | 35              | 2        | 25, 27       | 3             | 6              | 
| 31       | 42         | 44              | 3        | 18, 20, 24   | 2             | 8              | 
| 32       | 44         | 44              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is activity 29 not completed at time period 135? 

Write a brief explanation without listing reasons. 

OUTPUT:
