PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 1          | 2               | 2        | 1            | 2             | 10             | 
| 3        | 1          | 3               | 3        | 1            | 2             | 3              | 
| 4        | 2          | 7               | 6        | 1            | 3             | 9              | 
| 5        | 3          | 10              | 8        | 2            | 1             | 8              | 
| 6        | 30         | 32              | 3        | 3            | 2             | 6              | 
| 7        | 28         | 29              | 2        | 2            | 2             | 8              | 
| 8        | 50         | 51              | 2        | 5            | 2             | 9              | 
| 9        | 41         | 41              | 1        | 5            | 2             | 5              | 
| 10       | 11         | 18              | 8        | 5            | 2             | 10             | 
| 11       | 42         | 45              | 4        | 6            | 2             | 5              | 
| 12       | 19         | 21              | 3        | 10           | 4             | 5              | 
| 13       | 33         | 34              | 2        | 2, 6         | 2             | 1              | 
| 14       | 46         | 52              | 7        | 7, 11        | 1             | 4              | 
| 15       | 42         | 47              | 6        | 9            | 3             | 5              | 
| 16       | 22         | 29              | 8        | 12           | 3             | 8              | 
| 17       | 30         | 34              | 5        | 16           | 3             | 1              | 
| 18       | 29         | 34              | 6        | 3            | 4             | 9              | 
| 19       | 48         | 55              | 8        | 4, 15        | 3             | 7              | 
| 20       | 35         | 39              | 5        | 17           | 2             | 8              | 
| 21       | 30         | 31              | 2        | 16           | 3             | 8              | 
| 22       | 44         | 44              | 1        | 6, 16        | 1             | 8              | 
| 23       | 45         | 47              | 3        | 13, 22       | 4             | 1              | 
| 24       | 45         | 50              | 6        | 3            | 4             | 4              | 
| 25       | 45         | 49              | 5        | 9, 20        | 2             | 1              | 
| 26       | 35         | 44              | 10       | 13, 17, 21   | 4             | 9              | 
| 27       | 45         | 52              | 8        | 22, 26       | 2             | 4              | 
| 28       | 50         | 54              | 5        | 18, 23, 25   | 3             | 1              | 
| 29       | 56         | 60              | 5        | 8, 19, 22    | 3             | 8              | 
| 30       | 53         | 60              | 8        | 14, 27       | 1             | 5              | 
| 31       | 55         | 60              | 6        | 24, 28       | 4             | 6              | 
| 32       | 60         | 60              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is activity 25 not completed after time period 49? 

Write a brief explanation without listing reasons. 

OUTPUT:
