PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 1          | 4               | 4        | 1            | 4             | 5              | 
| 3        | 1          | 4               | 4        | 1            | 3             | 4              | 
| 4        | 1          | 1               | 1        | 1            | 4             | 4              | 
| 5        | 10         | 11              | 2        | 3            | 1             | 9              | 
| 6        | 18         | 21              | 4        | 2            | 4             | 7              | 
| 7        | 5          | 5               | 1        | 3            | 4             | 2              | 
| 8        | 12         | 18              | 7        | 5            | 4             | 4              | 
| 9        | 12         | 20              | 9        | 4            | 1             | 9              | 
| 10       | 22         | 27              | 6        | 6            | 1             | 8              | 
| 11       | 6          | 7               | 2        | 7            | 2             | 7              | 
| 12       | 35         | 37              | 3        | 3            | 1             | 4              | 
| 13       | 5          | 13              | 9        | 2            | 4             | 9              | 
| 14       | 30         | 32              | 3        | 9            | 2             | 1              | 
| 15       | 34         | 37              | 4        | 5, 11        | 4             | 7              | 
| 16       | 14         | 18              | 5        | 13           | 2             | 6              | 
| 17       | 38         | 42              | 5        | 13, 15       | 3             | 8              | 
| 18       | 19         | 25              | 7        | 8, 16        | 1             | 5              | 
| 19       | 26         | 34              | 9        | 18           | 1             | 4              | 
| 20       | 28         | 29              | 2        | 10           | 3             | 4              | 
| 21       | 35         | 44              | 10       | 18           | 1             | 6              | 
| 22       | 30         | 32              | 3        | 20           | 1             | 3              | 
| 23       | 33         | 34              | 2        | 14, 22       | 2             | 8              | 
| 24       | 28         | 34              | 7        | 2, 7         | 4             | 5              | 
| 25       | 33         | 42              | 10       | 5, 16        | 1             | 2              | 
| 26       | 35         | 42              | 8        | 6, 19, 24    | 2             | 9              | 
| 27       | 43         | 45              | 3        | 23, 25, 26   | 3             | 5              | 
| 28       | 38         | 46              | 9        | 12, 15, 18   | 3             | 2              | 
| 29       | 43         | 46              | 4        | 16           | 1             | 3              | 
| 30       | 47         | 47              | 1        | 17, 21, 28   | 4             | 2              | 
| 31       | 46         | 47              | 2        | 12, 27       | 4             | 3              | 
| 32       | 47         | 47              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is the subset of activities 20, 10 not completed at the same time period? 

Write a brief explanation without listing reasons. 

OUTPUT:
