PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 1          | 1               | 1        | 1            | 4             | 10             | 
| 3        | 1          | 7               | 7        | 1            | 3             | 3              | 
| 4        | 1          | 9               | 9        | 1            | 1             | 6              | 
| 5        | 2          | 7               | 6        | 2            | 4             | 7              | 
| 6        | 12         | 19              | 8        | 2            | 1             | 7              | 
| 7        | 8          | 14              | 7        | 3            | 2             | 7              | 
| 8        | 10         | 18              | 9        | 4, 5         | 2             | 5              | 
| 9        | 25         | 34              | 10       | 8            | 1             | 2              | 
| 10       | 19         | 26              | 8        | 7            | 2             | 10             | 
| 11       | 19         | 22              | 4        | 8            | 3             | 5              | 
| 12       | 2          | 9               | 8        | 2            | 3             | 3              | 
| 13       | 27         | 35              | 9        | 8, 10        | 3             | 10             | 
| 14       | 10         | 17              | 8        | 12           | 4             | 10             | 
| 15       | 20         | 22              | 3        | 4            | 1             | 7              | 
| 16       | 15         | 18              | 4        | 7            | 4             | 1              | 
| 17       | 8          | 8               | 1        | 3            | 4             | 9              | 
| 18       | 24         | 31              | 8        | 6, 11, 15    | 2             | 4              | 
| 19       | 32         | 32              | 1        | 14, 18       | 2             | 8              | 
| 20       | 36         | 45              | 10       | 13           | 1             | 3              | 
| 21       | 23         | 31              | 9        | 11, 16       | 3             | 1              | 
| 22       | 38         | 43              | 6        | 16, 19       | 3             | 8              | 
| 23       | 23         | 25              | 3        | 16           | 3             | 9              | 
| 24       | 10         | 18              | 9        | 12           | 4             | 8              | 
| 25       | 18         | 21              | 4        | 4            | 4             | 9              | 
| 26       | 41         | 48              | 8        | 9            | 3             | 2              | 
| 27       | 24         | 24              | 1        | 7            | 1             | 6              | 
| 28       | 47         | 48              | 2        | 22, 24, 25   | 2             | 5              | 
| 29       | 49         | 52              | 4        | 9, 27, 28    | 2             | 1              | 
| 30       | 49         | 53              | 5        | 11, 20, 26   | 4             | 7              | 
| 31       | 46         | 53              | 8        | 17, 21, 23   | 1             | 10             | 
| 32       | 53         | 53              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is activity 23 completed at time period 25 instead of activity 10? 

Write a brief explanation without listing reasons. 

OUTPUT:
