PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 1          | 10              | 10       | 1            | 1             | 4              | 
| 3        | 1          | 10              | 10       | 1            | 1             | 10             | 
| 4        | 1          | 4               | 4        | 1            | 1             | 5              | 
| 5        | 16         | 24              | 9        | 3            | 1             | 9              | 
| 6        | 11         | 15              | 5        | 2            | 1             | 4              | 
| 7        | 11         | 17              | 7        | 4            | 1             | 9              | 
| 8        | 25         | 26              | 2        | 5            | 3             | 8              | 
| 9        | 27         | 33              | 7        | 8            | 1             | 1              | 
| 10       | 24         | 25              | 2        | 7            | 1             | 9              | 
| 11       | 31         | 33              | 3        | 5, 10        | 4             | 10             | 
| 12       | 43         | 49              | 7        | 11           | 1             | 7              | 
| 13       | 26         | 30              | 5        | 10           | 4             | 8              | 
| 14       | 16         | 17              | 2        | 6            | 3             | 4              | 
| 15       | 18         | 24              | 7        | 6, 7         | 3             | 10             | 
| 16       | 29         | 37              | 9        | 14           | 2             | 10             | 
| 17       | 16         | 18              | 3        | 6            | 3             | 4              | 
| 18       | 34         | 40              | 7        | 9, 14        | 1             | 4              | 
| 19       | 41         | 45              | 5        | 17, 18       | 1             | 9              | 
| 20       | 26         | 28              | 3        | 4, 5         | 2             | 7              | 
| 21       | 51         | 56              | 6        | 16           | 1             | 4              | 
| 22       | 39         | 44              | 6        | 2, 20        | 2             | 4              | 
| 23       | 46         | 49              | 4        | 19           | 1             | 10             | 
| 24       | 37         | 42              | 6        | 13           | 1             | 7              | 
| 25       | 29         | 35              | 7        | 17           | 1             | 4              | 
| 26       | 27         | 36              | 10       | 15           | 1             | 9              | 
| 27       | 37         | 45              | 9        | 15, 25       | 1             | 3              | 
| 28       | 50         | 54              | 5        | 13, 22, 26   | 3             | 6              | 
| 29       | 50         | 59              | 10       | 12, 23, 24   | 4             | 2              | 
| 30       | 55         | 59              | 5        | 24, 27, 28   | 3             | 5              | 
| 31       | 57         | 59              | 3        | 8, 21, 27    | 1             | 8              | 
| 32       | 59         | 59              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is activity 24 not completed at time period 96? 

Write a brief explanation without listing reasons. 

OUTPUT:
