PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 7          | 9               | 3        | 1            | 3             | 5              | 
| 3        | 1          | 1               | 1        | 1            | 1             | 1              | 
| 4        | 1          | 6               | 6        | 1            | 3             | 8              | 
| 5        | 2          | 7               | 6        | 3            | 1             | 7              | 
| 6        | 36         | 36              | 1        | 4            | 3             | 6              | 
| 7        | 24         | 24              | 1        | 5            | 3             | 6              | 
| 8        | 7          | 12              | 6        | 4            | 3             | 2              | 
| 9        | 2          | 7               | 6        | 3            | 2             | 2              | 
| 10       | 8          | 13              | 6        | 9            | 4             | 4              | 
| 11       | 37         | 43              | 7        | 10           | 1             | 5              | 
| 12       | 25         | 26              | 2        | 7, 9         | 2             | 3              | 
| 13       | 13         | 20              | 8        | 4            | 1             | 10             | 
| 14       | 27         | 36              | 10       | 13           | 1             | 4              | 
| 15       | 14         | 16              | 3        | 10           | 3             | 6              | 
| 16       | 27         | 35              | 9        | 2            | 2             | 8              | 
| 17       | 13         | 20              | 8        | 5, 8         | 4             | 10             | 
| 18       | 38         | 47              | 10       | 14           | 1             | 6              | 
| 19       | 8          | 15              | 8        | 5            | 1             | 1              | 
| 20       | 2          | 5               | 4        | 3            | 4             | 8              | 
| 21       | 17         | 26              | 10       | 15           | 4             | 3              | 
| 22       | 27         | 36              | 10       | 12, 13, 21   | 3             | 3              | 
| 23       | 37         | 41              | 5        | 6            | 4             | 1              | 
| 24       | 37         | 45              | 9        | 22           | 3             | 9              | 
| 25       | 46         | 47              | 2        | 20, 24       | 2             | 7              | 
| 26       | 48         | 52              | 5        | 8, 10        | 4             | 8              | 
| 27       | 37         | 40              | 4        | 16, 17, 22   | 3             | 2              | 
| 28       | 44         | 47              | 4        | 11, 19, 23   | 4             | 6              | 
| 29       | 53         | 57              | 5        | 20, 26, 27   | 2             | 8              | 
| 30       | 48         | 57              | 10       | 18, 25, 28   | 4             | 7              | 
| 31       | 47         | 54              | 8        | 20, 24       | 3             | 4              | 
| 32       | 57         | 57              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is activity 25 not completed after time period 47? 

Write a brief explanation without listing reasons. 

OUTPUT:
