PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 1          | 2               | 2        | 1            | 2             | 1              | 
| 3        | 1          | 2               | 2        | 1            | 1             | 4              | 
| 4        | 1          | 10              | 10       | 1            | 2             | 8              | 
| 5        | 3          | 8               | 6        | 2            | 1             | 3              | 
| 6        | 3          | 7               | 5        | 3            | 1             | 8              | 
| 7        | 3          | 7               | 5        | 3            | 1             | 6              | 
| 8        | 27         | 34              | 8        | 3            | 1             | 4              | 
| 9        | 3          | 7               | 5        | 2            | 1             | 5              | 
| 10       | 11         | 20              | 10       | 4            | 1             | 8              | 
| 11       | 8          | 10              | 3        | 7            | 1             | 6              | 
| 12       | 8          | 15              | 8        | 9            | 1             | 1              | 
| 13       | 16         | 18              | 3        | 9            | 2             | 10             | 
| 14       | 9          | 17              | 9        | 5            | 1             | 4              | 
| 15       | 20         | 20              | 1        | 13           | 1             | 2              | 
| 16       | 21         | 21              | 1        | 5, 10        | 1             | 6              | 
| 17       | 8          | 8               | 1        | 6            | 1             | 9              | 
| 18       | 29         | 31              | 3        | 9, 11        | 1             | 1              | 
| 19       | 26         | 27              | 2        | 12, 16       | 1             | 1              | 
| 20       | 9          | 14              | 6        | 5, 17        | 1             | 7              | 
| 21       | 22         | 31              | 10       | 16           | 2             | 9              | 
| 22       | 21         | 30              | 10       | 11           | 1             | 6              | 
| 23       | 27         | 28              | 2        | 4            | 3             | 5              | 
| 24       | 36         | 42              | 7        | 16           | 2             | 3              | 
| 25       | 38         | 40              | 3        | 15, 18, 22   | 1             | 3              | 
| 26       | 32         | 40              | 9        | 21, 23       | 1             | 10             | 
| 27       | 41         | 43              | 3        | 13, 19, 26   | 2             | 8              | 
| 28       | 44         | 45              | 2        | 4            | 1             | 5              | 
| 29       | 46         | 49              | 4        | 10, 22, 28   | 1             | 8              | 
| 30       | 44         | 49              | 6        | 20, 24, 25   | 1             | 3              | 
| 31       | 44         | 49              | 6        | 8, 14, 27    | 1             | 6              | 
| 32       | 49         | 49              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is activity 29 not completed at time period 114? 

Write a brief explanation without listing reasons. 

OUTPUT:
