PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 1          | 5               | 5        | 1            | 4             | 8              | 
| 3        | 1          | 3               | 3        | 1            | 2             | 7              | 
| 4        | 1          | 7               | 7        | 1            | 1             | 4              | 
| 5        | 8          | 10              | 3        | 4            | 3             | 6              | 
| 6        | 16         | 19              | 4        | 2            | 2             | 9              | 
| 7        | 6          | 11              | 6        | 2            | 1             | 8              | 
| 8        | 12         | 18              | 7        | 5            | 1             | 5              | 
| 9        | 19         | 20              | 2        | 8            | 1             | 7              | 
| 10       | 6          | 15              | 10       | 2            | 2             | 3              | 
| 11       | 16         | 21              | 6        | 10           | 3             | 5              | 
| 12       | 32         | 36              | 5        | 7            | 3             | 10             | 
| 13       | 21         | 25              | 5        | 6            | 1             | 2              | 
| 14       | 29         | 36              | 8        | 8, 13        | 2             | 6              | 
| 15       | 16         | 22              | 7        | 10           | 1             | 4              | 
| 16       | 33         | 39              | 7        | 8            | 1             | 7              | 
| 17       | 13         | 15              | 3        | 5            | 4             | 5              | 
| 18       | 23         | 28              | 6        | 15           | 2             | 8              | 
| 19       | 26         | 32              | 7        | 9            | 1             | 6              | 
| 20       | 4          | 11              | 8        | 3            | 2             | 8              | 
| 21       | 21         | 29              | 9        | 9            | 1             | 6              | 
| 22       | 29         | 38              | 10       | 9, 18        | 4             | 7              | 
| 23       | 41         | 47              | 7        | 19           | 4             | 5              | 
| 24       | 21         | 26              | 6        | 10           | 4             | 10             | 
| 25       | 34         | 38              | 5        | 17, 18, 21   | 4             | 3              | 
| 26       | 40         | 40              | 1        | 16, 20, 21   | 4             | 9              | 
| 27       | 40         | 40              | 1        | 14, 18       | 1             | 9              | 
| 28       | 41         | 45              | 5        | 25, 26, 27   | 3             | 8              | 
| 29       | 48         | 48              | 1        | 20, 22, 23   | 1             | 5              | 
| 30       | 46         | 49              | 4        | 12, 24, 28   | 2             | 1              | 
| 31       | 44         | 45              | 2        | 11, 14, 22   | 2             | 6              | 
| 32       | 49         | 49              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is activity 28 not completed at time period 113? 

Write a brief explanation without listing reasons. 

OUTPUT:
