PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 1          | 8               | 8        | 1            | 1             | 6              | 
| 3        | 1          | 7               | 7        | 1            | 1             | 10             | 
| 4        | 1          | 3               | 3        | 1            | 1             | 8              | 
| 5        | 8          | 14              | 7        | 3            | 2             | 10             | 
| 6        | 15         | 17              | 3        | 5            | 2             | 9              | 
| 7        | 9          | 17              | 9        | 2            | 4             | 4              | 
| 8        | 15         | 17              | 3        | 5            | 4             | 3              | 
| 9        | 8          | 16              | 9        | 3            | 2             | 6              | 
| 10       | 4          | 7               | 4        | 4            | 2             | 10             | 
| 11       | 8          | 10              | 3        | 10           | 1             | 7              | 
| 12       | 19         | 27              | 9        | 8            | 2             | 10             | 
| 13       | 17         | 20              | 4        | 9            | 1             | 6              | 
| 14       | 8          | 17              | 10       | 10           | 1             | 5              | 
| 15       | 21         | 27              | 7        | 13           | 1             | 1              | 
| 16       | 32         | 33              | 2        | 10           | 2             | 5              | 
| 17       | 4          | 11              | 8        | 4            | 1             | 10             | 
| 18       | 18         | 23              | 6        | 6            | 1             | 7              | 
| 19       | 17         | 17              | 1        | 2            | 1             | 2              | 
| 20       | 29         | 37              | 9        | 6            | 4             | 3              | 
| 21       | 18         | 19              | 2        | 7, 14, 19    | 2             | 8              | 
| 22       | 24         | 29              | 6        | 11, 18, 21   | 2             | 8              | 
| 23       | 28         | 30              | 3        | 5            | 2             | 6              | 
| 24       | 28         | 31              | 4        | 12, 14, 15   | 2             | 6              | 
| 25       | 32         | 41              | 10       | 22, 24       | 4             | 5              | 
| 26       | 35         | 41              | 7        | 2, 11        | 1             | 6              | 
| 27       | 17         | 17              | 1        | 3            | 1             | 8              | 
| 28       | 33         | 33              | 1        | 18, 23       | 1             | 7              | 
| 29       | 34         | 42              | 9        | 17, 22, 28   | 3             | 6              | 
| 30       | 39         | 42              | 4        | 16, 20, 27   | 1             | 10             | 
| 31       | 42         | 42              | 1        | 20, 25, 26   | 4             | 7              | 
| 32       | 42         | 42              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is the subset of activities 12, 15, 18 not completed at the same time period? 

Write a brief explanation without listing reasons. 

OUTPUT:
