PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 3          | 4               | 2        | 1            | 2             | 5              | 
| 3        | 1          | 10              | 10       | 1            | 1             | 2              | 
| 4        | 1          | 4               | 4        | 1            | 1             | 5              | 
| 5        | 5          | 10              | 6        | 4            | 1             | 6              | 
| 6        | 11         | 15              | 5        | 3            | 1             | 2              | 
| 7        | 16         | 19              | 4        | 6            | 3             | 5              | 
| 8        | 41         | 47              | 7        | 5            | 3             | 3              | 
| 9        | 19         | 20              | 2        | 6            | 2             | 7              | 
| 10       | 26         | 26              | 1        | 9            | 2             | 4              | 
| 11       | 11         | 17              | 7        | 5            | 4             | 9              | 
| 12       | 11         | 20              | 10       | 5            | 1             | 10             | 
| 13       | 21         | 26              | 6        | 12           | 2             | 2              | 
| 14       | 11         | 15              | 5        | 3            | 3             | 5              | 
| 15       | 36         | 37              | 2        | 10           | 1             | 4              | 
| 16       | 16         | 18              | 3        | 14           | 1             | 2              | 
| 17       | 20         | 27              | 8        | 4, 7         | 1             | 7              | 
| 18       | 37         | 39              | 3        | 17           | 1             | 7              | 
| 19       | 27         | 34              | 8        | 2, 10        | 1             | 9              | 
| 20       | 39         | 41              | 3        | 10           | 3             | 7              | 
| 21       | 28         | 35              | 8        | 17           | 1             | 5              | 
| 22       | 34         | 41              | 8        | 4            | 2             | 3              | 
| 23       | 27         | 34              | 8        | 13           | 1             | 9              | 
| 24       | 42         | 42              | 1        | 16, 20, 21   | 3             | 1              | 
| 25       | 31         | 33              | 3        | 17           | 2             | 4              | 
| 26       | 35         | 42              | 8        | 13, 19, 25   | 1             | 1              | 
| 27       | 43         | 45              | 3        | 18, 24, 25   | 2             | 7              | 
| 28       | 46         | 47              | 2        | 15, 26, 27   | 1             | 2              | 
| 29       | 47         | 47              | 1        | 18, 22, 24   | 4             | 1              | 
| 30       | 48         | 49              | 2        | 8, 23, 28    | 2             | 4              | 
| 31       | 21         | 26              | 6        | 7, 11        | 1             | 8              | 
| 32       | 49         | 49              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is activity 32 not completed at time period 73? 

Write a brief explanation without listing reasons. 

OUTPUT:
