PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 1          | 1               | 1        | 1            | 2             | 1              | 
| 3        | 1          | 6               | 6        | 1            | 2             | 7              | 
| 4        | 1          | 1               | 1        | 1            | 3             | 6              | 
| 5        | 7          | 11              | 5        | 3            | 2             | 7              | 
| 6        | 12         | 14              | 3        | 5            | 2             | 7              | 
| 7        | 2          | 2               | 1        | 4            | 1             | 7              | 
| 8        | 15         | 21              | 7        | 6            | 1             | 1              | 
| 9        | 2          | 8               | 7        | 2            | 4             | 3              | 
| 10       | 12         | 15              | 4        | 5            | 4             | 4              | 
| 11       | 3          | 7               | 5        | 7            | 4             | 2              | 
| 12       | 3          | 5               | 3        | 7            | 3             | 4              | 
| 13       | 20         | 26              | 7        | 3            | 3             | 4              | 
| 14       | 12         | 14              | 3        | 2            | 1             | 9              | 
| 15       | 27         | 28              | 2        | 13           | 4             | 10             | 
| 16       | 22         | 22              | 1        | 8, 12        | 3             | 6              | 
| 17       | 9          | 13              | 5        | 9            | 2             | 10             | 
| 18       | 3          | 11              | 9        | 7            | 1             | 7              | 
| 19       | 15         | 21              | 7        | 6            | 1             | 7              | 
| 20       | 23         | 32              | 10       | 16           | 3             | 1              | 
| 21       | 31         | 37              | 7        | 8            | 1             | 8              | 
| 22       | 49         | 49              | 1        | 2, 6, 15     | 4             | 4              | 
| 23       | 22         | 30              | 9        | 18           | 1             | 9              | 
| 24       | 50         | 51              | 2        | 4, 22        | 4             | 9              | 
| 25       | 14         | 17              | 4        | 3            | 2             | 8              | 
| 26       | 38         | 47              | 10       | 20, 21, 23   | 3             | 6              | 
| 27       | 27         | 36              | 10       | 11, 14, 19   | 3             | 7              | 
| 28       | 48         | 56              | 9        | 17, 26, 27   | 4             | 2              | 
| 29       | 48         | 52              | 5        | 13, 26       | 1             | 9              | 
| 30       | 52         | 56              | 5        | 9, 23, 25    | 4             | 9              | 
| 31       | 57         | 65              | 9        | 10, 24, 28   | 4             | 8              | 
| 32       | 65         | 65              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is activity 31 not completed at time period 89? 

Write a brief explanation without listing reasons. 

OUTPUT:
