PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 1          | 6               | 6        | 1            | 2             | 2              | 
| 3        | 1          | 4               | 4        | 1            | 3             | 9              | 
| 4        | 1          | 10              | 10       | 1            | 1             | 7              | 
| 5        | 11         | 19              | 9        | 4            | 2             | 5              | 
| 6        | 5          | 7               | 3        | 3            | 3             | 7              | 
| 7        | 11         | 14              | 4        | 4            | 3             | 9              | 
| 8        | 20         | 23              | 4        | 5            | 1             | 5              | 
| 9        | 7          | 9               | 3        | 2            | 2             | 9              | 
| 10       | 10         | 17              | 8        | 9            | 1             | 4              | 
| 11       | 24         | 28              | 5        | 8            | 3             | 10             | 
| 12       | 5          | 10              | 6        | 3            | 3             | 2              | 
| 13       | 24         | 25              | 2        | 8            | 1             | 5              | 
| 14       | 20         | 27              | 8        | 5            | 3             | 8              | 
| 15       | 10         | 13              | 4        | 9            | 4             | 7              | 
| 16       | 26         | 35              | 10       | 13, 15       | 4             | 2              | 
| 17       | 20         | 27              | 8        | 5            | 4             | 10             | 
| 18       | 28         | 29              | 2        | 17           | 3             | 2              | 
| 19       | 18         | 21              | 4        | 10           | 1             | 8              | 
| 20       | 26         | 35              | 10       | 13           | 1             | 4              | 
| 21       | 36         | 39              | 4        | 12, 14, 16   | 1             | 9              | 
| 22       | 7          | 10              | 4        | 2            | 3             | 8              | 
| 23       | 26         | 30              | 5        | 13           | 2             | 10             | 
| 24       | 29         | 29              | 1        | 2, 11        | 3             | 10             | 
| 25       | 36         | 41              | 6        | 20, 23       | 3             | 3              | 
| 26       | 36         | 45              | 10       | 11, 20       | 3             | 8              | 
| 27       | 42         | 42              | 1        | 18, 22, 25   | 2             | 6              | 
| 28       | 46         | 53              | 8        | 6, 26, 27    | 3             | 1              | 
| 29       | 54         | 59              | 6        | 7, 24, 28    | 1             | 5              | 
| 30       | 22         | 29              | 8        | 4, 19        | 4             | 10             | 
| 31       | 43         | 51              | 9        | 21, 24, 27   | 3             | 1              | 
| 32       | 59         | 59              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is the subset of activities 13, 8 not completed at the same time period? 

Write a brief explanation without listing reasons. 

OUTPUT:
